# cyclic shear plus quadratic-response ansatz; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-2	-2	-2	-0	0	-0	0	-0	0
-2	-2	-1	-0	0	-0	0	-0	0
-2	-2	0	-0	0	-0	0	-0	0
-2	-2	1	-0	-0	-0	-0	-0	-0
-2	-2	2	-0	-0	-0	-0	-0	-0
-2	-1	-2	-0	0	-0	0	-0	0
-2	-1	-1	-0	0	-0	0	-0	0
-2	-1	0	-0	0	-0	0	-0	0
-2	-1	1	-0	-0	-0	-0	-0	-0
-2	-1	2	-0	-0	-0	-0	-0	-0
-2	0	-2	-0	0	-0	0	-0	0
-2	0	-1	-0	0	-0	0	-0	0
-2	0	0	-0	0	-0	0	-0	0
-2	0	1	-0	-0	-0	-0	-0	-0
-2	0	2	-0	-0	-0	-0	-0	-0
-2	1	-2	-0	0	-0	0	-0	0
-2	1	-1	-0	0	-0	0	-0	0
-2	1	0	-0	-0	-0	-0	-0	-0
-2	1	1	-0	-0	-0	-0	-0	-0
-2	1	2	-0	-0	-0	-0	-0	-0
-2	2	-2	-0	0	-0	0	-0	0
-2	2	-1	-0	0	-0	0	-0	0
-2	2	0	-0	-0	-0	-0	-0	-0
-2	2	1	-0	-0	-0	-0	-0	-0
-2	2	2	-0	-0	-0	-0	-0	-0
-1	-2	-2	-0	0	-0	0	-0	0
-1	-2	-1	-0	0	-0	0	-0	0
-1	-2	0	-0	0	-0	0	-0	0
-1	-2	1	-0	-0	-0	-0	-0	-0
-1	-2	2	-0	-0	-0	-0	-0	-0
-1	-1	-2	-0	0	-0	0	-0	0
-1	-1	-1	-0	0	-0	0	-0	0
-1	-1	0	-0	0	-0	0	-0	0.068500964410310852259
-1	-1	1	-0	-0	-0	-0	-0	-0
-1	-1	2	-0	-0	-0	-0	-0	-0
-1	0	-2	-0	0	-0	0	-0	0
-1	0	-1	-0	0	-0	0.068500964410310852259	-0	0
-1	0	0	-0	0	-0	0	-0.39658782434207601186	0
-1	0	1	-0	-0	-0	-0.068500964410310852259	-0	-0
-1	0	2	-0	-0	-0	-0	-0	-0
-1	1	-2	-0	0	-0	0	-0	0
-1	1	-1	-0	0	-0	0	-0	0
-1	1	0	-0	-0	-0	-0	-0	0.068500964410310852259
