# cyclic frozen-trajectory SLD ansatz; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-2	-2	-2	-0	0	-0	0	-0	0
-2	-2	-1	-0	0	-0	0	-0	0
-2	-2	0	-0	0	-0	0	-0	0
-2	-2	1	-0	-0	-0	-0	-0	-0
-2	-2	2	-0	-0	-0	-0	-0	-0
-2	-1	-2	-0	0	-0	0	-0	0
-2	-1	-1	-0	0	-0	0	-0	0
-2	-1	0	-0	0	-0	0	-0	0
-2	-1	1	-0	-0	-0	-0	-0	-0
-2	-1	2	-0	-0	-0	-0	-0	-0
-2	0	-2	-0	0	-0	0	-0	0
-2	0	-1	-0	0	-0	0	-0	0
-2	0	0	-0	0	-0	0	-0	0
-2	0	1	-0	-0	-0	-0	-0	-0
-2	0	2	-0	-0	-0	-0	-0	-0
-2	1	-2	-0	0	-0	0	-0	0
-2	1	-1	-0	0	-0	0	-0	0
-2	1	0	-0	-0	-0	-0	-0	-0
-2	1	1	-0	-0	-0	-0	-0	-0
-2	1	2	-0	-0	-0	-0	-0	-0
-2	2	-2	-0	0	-0	0	-0	0
-2	2	-1	-0	0	-0	0	-0	0
-2	2	0	-0	-0	-0	-0	-0	-0
-2	2	1	-0	-0	-0	-0	-0	-0
-2	2	2	-0	-0	-0	-0	-0	-0
-1	-2	-2	-0	0	-0	0	-0	0
-1	-2	-1	-0	0	-0	0	-0	0
-1	-2	0	-0	0	-0	0	-0	0
-1	-2	1	-0	-0	-0	-0	-0	-0
-1	-2	2	-0	-0	-0	-0	-0	-0
-1	-1	-2	-0	0	-0	0	-0	0
-1	-1	-1	-0	0	-0	0	-0	0
-1	-1	0	-0	0	-0	0	-0	0.028479300818777888299
-1	-1	1	-0	-0	-0	-0	-0	-0
-1	-1	2	-0	-0	-0	-0	-0	-0
-1	0	-2	-0	0	-0	0	-0	0
-1	0	-1	-0	0	-0	0.028479300818777888299	-0	0
-1	0	0	-0	0	-0	0	-0.40625672365686921195	0
-1	0	1	-0	-0	-0	-0.028479300818777888299	-0	-0
-1	0	2	-0	-0	-0	-0	-0	-0
-1	1	-2	-0	0	-0	0	-0	0
-1	1	-1	-0	0	-0	0	-0	0
-1	1	0	-0	-0	-0	-0	-0	0.028479300818777888299
