# exact-gradient local quartic closure adversary; cutoff=3; objective=terminal-sld-ratio; selection=local; objective_value=0.000826646; constant_ratio=0.203232; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	-2.7245884760259835066e-05	1.7572916458921809981e-05	1.1862283154988235458e-05	-1.287798183290728107e-05	1.5383601605271599608e-05	-4.6949346260145289109e-06
-3	-3	-2	-1.689781924297190037e-05	-7.7473502326604837086e-06	1.2446776709873373231e-05	2.5491426422932188477e-06	6.6765637996477907086e-06	7.7973113855508958091e-06
-3	-3	-1	8.6468032734606238401e-08	-2.417077058777979232e-07	-1.9405994821957460583e-07	4.5313982255191452805e-07	3.2277574645490508905e-07	-6.3429635002234981456e-07
-3	-3	0	8.2895843997597159282e-08	-8.0072442623680089236e-09	-8.2895843997597159282e-08	8.0072442623680089236e-09	7.2109755090476393193e-08	-5.2469465135666916835e-07
-3	-3	1	-2.2317696782652291791e-07	-2.9939765898977490855e-07	4.1986097740842313995e-07	5.5185221252242190226e-07	5.900520287457006132e-07	7.5736366059794113996e-07
-3	-3	2	-1.4813392197582900847e-05	9.0453339187542185023e-06	1.0852323301510387305e-05	-4.1588034149601107802e-06	-5.9416033441087711604e-06	7.3297957556911615831e-06
-3	-3	3	2.8452211505028241568e-05	1.5894186867792257142e-05	-2.192405467196424735e-05	-8.1815045168265840991e-06	6.528156833063996759e-06	7.7126823509656747366e-06
-3	-2	-3	-4.731459957890990404e-06	-6.9981289566206722556e-06	-4.797746213645295598e-06	-9.1285203211006529829e-07	7.9299574336545205203e-06	7.6066969780273822427e-06
-3	-2	-2	-7.5093509023877594365e-07	-2.2572421390596432278e-06	4.5424753029298384713e-07	1.3819221568841204584e-06	6.721551050651800154e-07	2.0039410517053441715e-06
-3	-2	-1	-1.7560543774115017352e-06	6.2302205909135153147e-06	2.4015417160398125876e-06	-8.4781142608354233427e-06	4.6507970015488024226e-07	-1.7344332510697007409e-06
-3	-2	0	3.4709689447633853654e-06	-6.5467204474180337234e-07	-5.2064534171450780481e-06	9.8200806711270495262e-07	6.0854626987380671401e-09	9.7629242977533428758e-09
-3	-2	1	3.8945954502641711125e-06	5.2012078428517192948e-06	-5.303035601723144805e-06	-7.0926420937743073179e-06	1.0777151473462230923e-06	1.4183393410065436723e-06
-3	-2	2	5.2746684055179773037e-07	1.9396395238024548074e-06	-8.571717151627798464e-07	-1.0273346300772023301e-06	-6.5971454335083343495e-08	1.882124655626479881e-06
-3	-2	3	4.1041114273949443216e-07	-7.0229345057664507244e-06	6.9825082204684628173e-06	1.3771481670722805388e-06	5.0654166230518025006e-06	-6.1048357277182636985e-06
-3	-1	-3	-9.7026113837592312789e-09	-8.4620172407487448384e-07	5.3402896366470960349e-08	1.111627867805529445e-06	-8.0983540717310888373e-09	4.7565910147303135315e-07
-3	-1	-2	-2.2136547305178179009e-06	5.2727379563798336889e-06	2.2757288702698202152e-06	-5.2665571061294348353e-06	2.1826176606418169555e-06	-5.2758283815050331157e-06
-3	-1	-1	-2.5881903156261453153e-05	1.4622014099153064297e-06	9.4452378633640306487e-06	-5.5978290523260366809e-07	6.8200471605420328811e-05	-3.8268213245133157269e-06
