# exact-gradient local quartic closure adversary; cutoff=3; objective=terminal-sld-ratio; selection=local; objective_value=0.000821458; constant_ratio=0.326819; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	2.3758222734009447281e-06	-2.0693567127579739245e-06	-4.8295996174398465097e-06	5.9621530604260362289e-06	2.4537773440389022051e-06	-3.8927963476680623044e-06
-3	-3	-2	-8.6073033878427946639e-07	1.2898702657758377672e-07	2.2782471772483322582e-06	-1.2518531502135532267e-06	-2.1262752576960791878e-06	1.6842991854539542014e-06
-3	-3	-1	-7.160327031522009661e-06	-4.9866670193481830016e-06	7.418809356003963767e-06	5.2235537423801394602e-06	-7.7544697344586136487e-07	-7.1066016909586895238e-07
-3	-3	0	5.1419993000503727465e-08	-1.2454490979743002319e-09	-5.1419993000503727465e-08	1.2454490979743002319e-09	4.7408011954707282778e-07	-3.2040150723862654308e-06
-3	-3	1	8.3165284988528060615e-06	-2.6847642039287906457e-06	-8.6220250580591057939e-06	2.8294844048272817701e-06	-9.1648967761889940893e-07	4.3416060269547363772e-07
-3	-3	2	-7.0599486672271551653e-07	-4.4552162092308050029e-07	2.0906711107457635634e-06	1.6816259650743646008e-06	2.0770143660345720703e-06	1.8541565162269260449e-06
-3	-3	3	6.1134961118296645083e-06	-6.2971359817868082678e-07	-4.5610143256415038061e-07	2.9350350708729735556e-06	5.6573946792655135983e-06	2.3053214726942927288e-06
-3	-2	-3	2.7133894930502591634e-06	-9.8220098067601345013e-07	-2.7141208940911108548e-06	1.0171960290256188003e-06	-9.0397556365618511896e-07	3.0407029465893419697e-07
-3	-2	-2	-4.7060845151570640269e-06	-4.4485059267149631003e-06	1.1769015712563679808e-05	1.1006185825930150072e-05	-4.7098889398280841911e-06	-4.333426935857704575e-06
-3	-2	-1	-8.6306025467405792509e-06	2.9904673362253909023e-05	2.3403866598738132292e-05	-8.1198476187481987516e-05	-2.0915925557254528525e-05	7.2682932288202251351e-05
-3	-2	0	1.2419497836055005938e-05	-2.3315775173875488242e-06	-1.8629246754082509754e-05	3.4973662760813234481e-06	-7.7854728396866915238e-09	4.9263864755618087649e-08
-3	-2	1	1.8878695513476853617e-05	2.4718245926696863198e-05	-5.1250440678721377466e-05	-6.7149507522786916177e-05	-4.5864794817012187304e-05	-6.0144277265483229208e-05
-3	-2	2	-2.8140911418817831402e-06	5.8097186874912818235e-06	6.9972369650618679714e-06	-1.4477536842068368589e-05	2.7761002522391932611e-06	-5.7629588108314450072e-06
-3	-2	3	-2.8820217357462274127e-06	-4.3025704795882390341e-07	3.1806740368229506775e-06	4.3872644425179163755e-07	-7.6157237786426011794e-07	-1.3777275179096280288e-07
-3	-1	-3	5.8120237334748619322e-06	6.9911392055699791517e-06	-6.7803625581765257316e-07	-7.5800114642309508732e-07	-5.5860116482023115686e-06	-6.7384721567622806834e-06
-3	-1	-2	1.8820097247961832477e-05	-4.3237796240649958401e-05	-6.214004199561824899e-06	1.4351026338399162523e-05	-2.5123143772161835843e-05	5.7681181191775354646e-05
-3	-1	-1	-0.00011063507828759100991	6.2277044986133506507e-06	4.5865936284456902097e-05	-2.6507036027942679056e-06	0.00028603929857831612762	-1.6032409893045783199e-05
-3	-1	0	-5.0033836395565773278e-08	9.1845411533060847391e-09	1.501015091866973066e-07	-2.7553623459918252563e-08	-7.3783002686685002789e-05	-0.00012816704006611516074
-3	-1	1	6.0896141328398902134e-05	-9.2530753540032682509e-05	-2.5258042043932996183e-05	3.8240591280804584709e-05	0.00015743038194126370683	-0.00023935166933929344249
-3	-1	2	4.6792847772389292488e-05	5.4168357006680149395e-06	-1.5443738803117314364e-05	-1.8233239329988608175e-06	6.2467402257025279855e-05	7.2135915845025918946e-06
-3	-1	3	3.0731043987955862059e-06	8.558506031156628939e-06	-2.7319080127775901134e-07	-9.1974131547355495294e-07	2.9820407983696667472e-06	8.2519255926654428606e-06
