# exact-gradient local quartic closure adversary; cutoff=4; objective=maximum-sld-ratio; selection=local; backend=auto; objective_value=0.000853527; constant_ratio=0.298535; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	5.0867696280987239718e-22	-5.4325336102685759633e-22	-1.9565313113911174003e-22	2.7534935903844733574e-22	-3.1302383167076070417e-22	2.6790400198841026059e-22
-4	-4	-3	7.853068973061008219e-08	5.4486590642775016908e-25	-1.3481287624467208863e-07	-2.1301762625360867095e-23	7.5042915352082679665e-08	2.7675862291910824159e-23
-4	-4	-2	-5.7486127885646779929e-24	-2.019792678260547013e-08	1.2946979065992049137e-24	9.7928871769025128551e-08	8.9078297639309465258e-24	-1.5546188997283929699e-07
-4	-4	-1	-8.8487696816517457416e-09	-3.8598744873761152244e-24	1.4630338637851225376e-08	4.7054211696321244519e-24	-2.3126275824797921845e-08	-3.3821867290240391141e-24
-4	-4	0	8.3094165902039724067e-24	2.5876865933241976072e-08	-8.3094165902039724067e-24	-2.5876865933241976072e-08	6.1590606651852865471e-24	5.3000947633644968908e-24
-4	-4	1	-8.8487696816517391241e-09	-2.9879884299394918586e-24	1.4630338637851220413e-08	5.9015529423198963828e-26	2.3126275824797925154e-08	-1.1715891602065170753e-23
-4	-4	2	3.5935631628870417646e-24	-2.0197926782605460204e-08	-1.7320094030883220132e-24	9.7928871769025128551e-08	3.7231075195974387682e-24	1.5546188997283932346e-07
-4	-4	3	7.8530689730609923372e-08	-1.1270647308724218126e-23	-1.3481287624467200922e-07	-1.9477693540065816515e-23	-7.5042915352082785544e-08	-4.0997787798386714813e-23
-4	-4	4	9.1306050016462829558e-23	-1.7503160050402955872e-22	1.181902481279532613e-22	6.228587977167946219e-22	2.0949629814441610261e-22	4.4782719721276499265e-22
-4	-3	-4	-1.3481287624467219451e-07	2.0528291632882889077e-24	7.5042915352082626725e-08	7.2877114978627419412e-23	7.8530689730610227774e-08	-5.6710665397258860446e-23
-4	-3	-3	8.4175612436201633269e-24	-5.6410665857053708107e-08	3.4794035867709727486e-24	-1.4063904663859396888e-07	-1.4702818578264522382e-23	2.1585326778133223753e-07
-4	-3	-2	1.6632438836533137725e-07	-3.6634712206975792659e-24	-3.7101792846685083564e-07	-1.3067315258427702038e-24	2.2387811596961344602e-07	9.2870397301593139293e-24
