# exact-gradient local quartic closure adversary; cutoff=4; objective=maximum-sld-ratio; selection=local; backend=auto; objective_value=0.000853498; constant_ratio=0.298644; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	0	-0	0	-0	0	-0
-4	-4	-3	0	-0	0	-0	0	-0
-4	-4	-2	0	-0	0	-0	0	-0
-4	-4	-1	0	-0	0	-0	0	-0
-4	-4	0	0	-0	0	-0	0	-0
-4	-4	1	0	0	0	0	0	0
-4	-4	2	0	0	0	0	0	0
-4	-4	3	0	0	0	0	0	0
-4	-4	4	0	0	0	0	0	0
-4	-3	-4	0	-0	0	-0	0	-0
-4	-3	-3	0	-0	0	-0	0	-0
-4	-3	-2	0	-0	0	-0	0	-0
-4	-3	-1	0	-0	0	-0	0	-0
-4	-3	0	0	-0	0	-0	0	-0
-4	-3	1	0	0	0	0	0	0
-4	-3	2	0	0	0	0	0	0
-4	-3	3	0	0	0	0	0	0
-4	-3	4	0	0	0	0	0	0
-4	-2	-4	0	-0	0	-0	0	-0
-4	-2	-3	0	-0	0	-0	0	-0
-4	-2	-2	0	-0	0	-0	0	-0
-4	-2	-1	0	-0	0	-0	0	-0
-4	-2	0	0	-0	0	-0	0	-0
-4	-2	1	0	0	0	0	0	0
-4	-2	2	0	0	0	0	0	0
-4	-2	3	0	0	0	0	0	0
-4	-2	4	0	0	0	0	0	0
-4	-1	-4	0	-0	0	-0	0	-0
-4	-1	-3	0	-0	0	-0	0	-0
-4	-1	-2	0	-0	0	-0	0	-0
-4	-1	-1	0	-0	0	-0	0	-0
-4	-1	0	0	-0	0	-0	0	-0
-4	-1	1	0	0	0	0	0	0
-4	-1	2	0	0	0	0	0	0
-4	-1	3	0	0	0	0	0	0
-4	-1	4	0	0	0	0	0	0
-4	0	-4	0	-0	0	-0	0	-0
-4	0	-3	0	-0	0	-0	0	-0
-4	0	-2	0	-0	0	-0	0	-0
-4	0	-1	0	-0	0	-0	0	-0
-4	0	0	0	-0	0	-0	0	-0
-4	0	1	0	0	0	0	0	0
-4	0	2	0	0	0	0	0	0
-4	0	3	0	0	0	0	0	0
-4	0	4	0	0	0	0	0	0
-4	1	-4	0	-0	0	-0	0	-0
-4	1	-3	0	-0	0	-0	0	-0
-4	1	-2	0	-0	0	-0	0	-0
-4	1	-1	0	-0	0	-0	0	-0
-4	1	0	0	0	0	0	0	0
-4	1	1	0	0	0	0	0	0
-4	1	2	0	0	0	0	0	0
-4	1	3	0	0	0	0	0	0
-4	1	4	0	0	0	0	0	0
-4	2	-4	0	-0	0	-0	0	-0
-4	2	-3	0	-0	0	-0	0	-0
-4	2	-2	0	-0	0	-0	0	-0
-4	2	-1	0	-0	0	-0	0	-0
-4	2	0	0	0	0	0	0	0
-4	2	1	0	0	0	0	0	0
-4	2	2	0	0	0	0	0	0
-4	2	3	0	0	0	0	0	0
-4	2	4	0	0	0	0	0	0
-4	3	-4	0	-0	0	-0	0	-0
-4	3	-3	0	-0	0	-0	0	-0
-4	3	-2	0	-0	0	-0	0	-0
-4	3	-1	0	-0	0	-0	0	-0
-4	3	0	0	0	0	0	0	0
-4	3	1	0	0	0	0	0	0
-4	3	2	0	0	0	0	0	0
-4	3	3	0	0	0	0	0	0
-4	3	4	0	0	0	0	0	0
-4	4	-4	0	-0	0	-0	0	-0
-4	4	-3	0	-0	0	-0	0	-0
-4	4	-2	0	-0	0	-0	0	-0
-4	4	-1	0	-0	0	-0	0	-0
-4	4	0	0	0	0	0	0	0
-4	4	1	0	0	0	0	0	0
-4	4	2	0	0	0	0	0	0
-4	4	3	0	0	0	0	0	0
-4	4	4	0	0	0	0	0	0
-3	-4	-4	0	-0	0	-0	0	-0
-3	-4	-3	0	-0	0	-0	0	-0
-3	-4	-2	0	-0	0	-0	0	-0
-3	-4	-1	0	-0	0	-0	0	-0
-3	-4	0	0	-0	0	-0	0	-0
-3	-4	1	0	0	0	0	0	0
-3	-4	2	0	0	0	0	0	0
-3	-4	3	0	0	0	0	0	0
-3	-4	4	0	0	0	0	0	0
-3	-3	-4	0	-0	0	-0	0	-0
-3	-3	-3	1.2967705832580477931e-22	-0	-8.3311238972740582129e-22	-0	7.0343533140160113602e-22	-0
-3	-3	-2	0	1.7032201001689456748e-05	0	-1.4882851397311026297e-05	0	-3.224024406567646523e-06
-3	-3	-1	2.9128774751218344866e-06	-0	-8.5180708677587967939e-06	-0	1.6815580177910885651e-05	-0
-3	-3	0	0	-8.8664831013935005856e-23	0	8.8664831013935005856e-23	0	-1.7703898389691693035e-05
-3	-3	1	-2.9128774751218349101e-06	0	8.5180708677587967939e-06	0	1.6815580177910885651e-05	0
-3	-3	2	0	-1.7032201001689456748e-05	0	1.4882851397311024603e-05	0	-3.2240244065676494876e-06
-3	-3	3	1.4440247509270829058e-21	0	2.7138853048567720295e-21	0	4.1579100557838547473e-21	0
-3	-3	4	0	0	0	0	0	0
-3	-2	-4	0	-0	0	-0	0	-0
-3	-2	-3	0	-1.4882851397311033074e-05	0	-3.2240244065676431349e-06	0	1.7032201001689460136e-05
-3	-2	-2	-1.5554642982761344946e-06	-0	-2.3526508614770102967e-06	-0	4.6858473088912118269e-06	-0
-3	-2	-1	0	-4.7688120740680780998e-06	0	6.2162588359066682568e-06	0	1.87391855039089588e-06
-3	-2	0	1.3114220641310059226e-23	-0	-1.9671330961965086635e-23	-0	-6.7041095297927280256e-06	-0
-3	-2	1	0	4.7688120740680772528e-06	0	-6.2162588359066682568e-06	0	1.8739185503908956683e-06
-3	-2	2	1.5554642982761332241e-06	0	2.3526508614770136849e-06	0	4.685847308891213521e-06	0
-3	-2	3	0	1.4882851397311034768e-05	0	3.2240244065676431349e-06	0	1.7032201001689463524e-05
-3	-2	4	0	0	0	0	0	0
-3	-1	-4	0	-0	0	-0	0	-0
-3	-1	-3	-8.5180708677587950998e-06	-0	1.6815580177910885651e-05	-0	2.9128774751218336395e-06	-0
-3	-1	-2	0	6.9314858592085828079e-06	0	2.7707792936957960242e-05	0	-2.4251125257291852215e-05
-3	-1	-1	-6.3048501301991464671e-05	-0	0.00016434093338757240778	-0	2.4804570518401962512e-05	-0
-3	-1	0	0	-7.4104687525132140362e-25	0	2.2231406257539640272e-24	0	4.3877951870349624671e-05
-3	-1	1	6.3048501301991464671e-05	0	-0.00016434093338757240778	0	2.4804570518401962512e-05	0
-3	-1	2	0	-6.9314858592085828079e-06	0	-2.7707792936957960242e-05	0	-2.4251125257291852215e-05
