# exact-gradient local quartic closure adversary; cutoff=3; objective=maximum-sld-ratio; selection=local; objective_value=0.000848673; constant_ratio=0.26214; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	5.1843604097882070694e-06	-4.1821244784202700226e-06	-3.8168136001262153463e-06	4.7965168099690319871e-06	-1.3675468096619915113e-06	-6.1439233154876143506e-07
-3	-3	-2	2.621509605032128364e-05	1.2254484654022330085e-05	-1.6991667045840306742e-05	-3.737325385161833966e-06	-1.3835143506721467042e-05	-1.2775738903290743755e-05
-3	-3	-1	1.0920718282361536043e-06	7.1900325119225578646e-07	-1.9723623247867598567e-06	-2.5263025823284875354e-06	2.6408714896518187571e-06	5.4218979934086946115e-06
-3	-3	0	-7.242893464356059557e-07	7.0109848911366835011e-08	7.242893464356059557e-07	-7.0109848911366835011e-08	9.9633626463153258533e-08	-3.8160232038066626879e-07
-3	-3	1	-9.8551968792640192223e-07	4.7488109813044369646e-07	1.8423570635337884388e-06	-1.899141410271632485e-06	2.5705121268221593379e-06	-4.2727809364235667361e-06
-3	-3	2	2.2609910890894169109e-05	-1.3358014291316985255e-05	-1.4082455041549913401e-05	4.9595518431253700139e-06	1.2791183774016383562e-05	-1.2597693672287421592e-05
-3	-3	3	-2.5317492059785601411e-06	-3.2989509073753643361e-06	3.9554063735828819096e-06	2.6270760094270201375e-06	1.4236571676043217686e-06	-6.7187489794834388095e-07
-3	-2	-3	5.2872200249431065675e-06	7.7721457438064034298e-06	8.1928403879976851763e-06	4.0782243743479135791e-06	-1.0749113616941562222e-05	-1.0490961993371680279e-05
-3	-2	-2	-5.1172043556576784386e-06	-1.0162048858975736489e-06	3.7562991271347030628e-06	1.0286531155884336428e-06	3.9195074063518145952e-06	4.9565421325792683063e-07
-3	-2	-1	-4.7356822352141759528e-06	1.6426425395376352702e-05	8.7274387864919359369e-06	-3.03890918311663859e-05	-3.2478308673413418979e-06	1.1498907476203715388e-05
-3	-2	0	1.2821419537554930889e-05	-2.4019279275163496034e-06	-1.9232129306332397181e-05	3.6028918912745244051e-06	-4.1052447006084194134e-08	-7.5353360607843345397e-08
-3	-2	1	1.0367634909050097718e-05	1.3533035481547141065e-05	-1.9165887882237001981e-05	-2.4992686893069730514e-05	-7.2288710373237125017e-06	-9.3862673414980361391e-06
-3	-2	2	-5.454928724290659859e-06	3.9254288888202246805e-06	4.8454640366678778643e-06	-3.4158296052481443419e-06	-3.3369290497681119242e-06	2.4723137279821926789e-06
