# quadratic response hierarchy plus cyclic orbit projection; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	1.1479437019748901445e-41	2.1144472854859725096e-26	0	1.0037954661480333902e-24	-1.1479437019748901445e-41	-1.024939939002893078e-24
-4	-4	-3	-6.8478772441888021029e-06	-3.7841894139035061771e-43	7.4160018509022370038e-06	6.9996567193590844984e-44	-7.5749947561791249531e-07	4.1122983226234628398e-43
-4	-4	-2	7.9718312637145144498e-44	6.0444195485066073002e-06	-9.964789079643144058e-44	-4.6921930765161814795e-06	3.9859156318572572249e-44	-2.704452943980851218e-06
-4	-4	-1	-4.2495492133573075505e-06	-1.0870678995974328834e-44	2.8411850945248232391e-06	-1.0870678995974328834e-44	5.6334564753299380926e-06	8.696543196779471033e-44
-4	-4	0	0	-1.2619955930274598228e-05	0	1.2619955930274598228e-05	0	4.7843186954371373946e-25
-4	-4	1	-4.2495492133573075505e-06	1.6306018493961503209e-44	2.8411850945248232391e-06	5.0956307793629666412e-45	-5.6334564753299380926e-06	8.5606597093297919226e-44
-4	-4	2	-3.9859156318572572249e-44	6.0444195485066073002e-06	-3.9859156318572572249e-44	-4.6921930765161814795e-06	-1.59436625274290289e-43	2.704452943980851218e-06
-4	-4	3	-6.8478772441888021029e-06	-4.3747854495994288072e-43	7.4160018509022370038e-06	2.7998626877436345959e-43	7.5749947561791249531e-07	-2.0998970158077261461e-43
-4	-4	4	-3.8264790065829675732e-42	-7.4586152661356418326e-25	1.913239503291483468e-42	6.8741376217004276047e-25	-1.913239503291483468e-42	-5.8447764443521468713e-26
-4	-3	-4	7.4160018509022370038e-06	1.2205651404382406332e-42	-7.5749947561791249531e-07	3.3248369416955657342e-43	-6.8478772441888021029e-06	-1.4699279110654081429e-42
-4	-3	-3	1.2661143771781875422e-43	1.0864550329422589656e-05	-8.4407625145212529367e-44	-1.1009161421415150444e-05	-8.4407625145212529367e-44	-3.476905684481636047e-06
-4	-3	-2	9.1365569859990067894e-06	-1.2370082995419074661e-44	-2.9337920503447393784e-06	-9.8960663963352597291e-44	-1.3872425896480905782e-05	1.7318116193586705522e-43
-4	-3	-1	0	3.0884736830429277225e-06	0	-1.6758704896612889033e-06	0	-7.3262832631878435448e-06
-4	-3	0	-1.9373297770395701432e-05	-0	2.5831063693860936372e-05	-0	-1.5948030372495745308e-24	-0
-4	-3	1	1.3797400264121276541e-44	3.0884736830429277225e-06	-3.4493500660303186374e-44	-1.6758704896612889033e-06	-4.8290900924424462916e-44	7.3262832631878435448e-06
-4	-3	2	9.1365569859990067894e-06	6.1850414977095398199e-45	-2.9337920503447393784e-06	4.9480331981676298645e-44	1.3872425896480905782e-05	8.6590580967933517651e-44
-4	-3	3	2.5322287543563750845e-43	1.0864550329422589656e-05	1.8991715657672811142e-43	-1.1009161421415150444e-05	5.2754765715757822889e-43	3.476905684481636047e-06
-4	-3	4	7.4160018509022370038e-06	6.2996910474231768451e-43	-7.5749947561791249531e-07	-1.6799176126461809169e-42	6.8478772441888021029e-06	-6.2996910474231768451e-43
-4	-2	-4	-1.59436625274290289e-43	-4.6921930765161814795e-06	6.3774650109716115599e-43	-2.704452943980851218e-06	-1.59436625274290289e-43	6.0444195485066073002e-06
-4	-2	-3	1.073379219797218292e-05	-8.0405539470223987788e-44	-1.5349556833344934657e-05	4.9480331981676298645e-44	-4.0786850417329552517e-06	7.4220497972514447968e-44
-4	-2	-2	0	-1.5664917778704493022e-05	1.7936620343357658508e-43	3.2306984820566180124e-05	-1.7936620343357658508e-43	-9.7714926315719407993e-07
-4	-2	-1	5.0975117245687983703e-06	5.9788734477858856382e-43	-5.4403984079758576357e-06	-1.1359859550793184784e-42	-9.5092500823234765158e-06	-1.1957746895571773666e-43
-4	-2	0	0	-1.0754083235763986389e-06	0	2.1508166471527972778e-06	0	-8.2719651158814817379e-25
-4	-2	1	5.0975117245687983703e-06	0	-5.4403984079758576357e-06	0	9.5092500823234765158e-06	0
-4	-2	2	2.9894367238929434165e-44	-1.5664917778704493022e-05	-7.4735918097323570478e-44	3.2306984820566180124e-05	-1.4947183619464717083e-44	9.7714926315719407993e-07
-4	-2	3	1.073379219797218292e-05	-3.7110248986257223984e-44	-1.5349556833344934657e-05	-1.8555124493128611992e-44	4.0786850417329552517e-06	-6.1850414977095378285e-44
-4	-2	4	-1.9929578159286288116e-43	-4.6921930765161814795e-06	7.9718312637145144498e-44	-2.704452943980851218e-06	-1.59436625274290289e-43	-6.0444195485066073002e-06
-4	-1	-4	2.8411850945248232391e-06	-0	5.6334564753299380926e-06	-0	-4.2495492133573075505e-06	-0
-4	-1	-3	-4.1392200792363829623e-44	2.5775064202299560914e-07	1.2417660237709147891e-43	-1.0813687271479753956e-05	1.3797400264121274052e-44	3.2608949011292572436e-06
-4	-1	-2	2.4177493033839506847e-06	-0	3.6822210038711347791e-07	-0	-5.0196096569614582673e-06	-0
