# quadratic response-hierarchy projection residual; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	1.3526895449129717435e-22	0	-8.3980259345449244341e-22	0	7.0453363896319531608e-22	0
-3	-3	-2	0	7.6719129821260399153e-05	0	-0.00015857890854842731352	0	0.000122789668090750358
-3	-3	-1	-3.0566516921747829494e-05	0	3.7211804291675394901e-05	0	-1.9935862109782689444e-05	0
-3	-3	0	0	1.1449285699574903685e-23	0	-1.1449285699574903685e-23	0	8.0239553283133950665e-05
-3	-3	1	3.0566516921747829494e-05	0	-3.7211804291675394901e-05	0	-1.9935862109782689444e-05	0
-3	-3	2	0	-7.6719129821260399153e-05	0	0.00015857890854842731352	0	0.000122789668090750358
-3	-3	3	1.4654481426599683841e-21	0	2.685842104894577096e-21	0	4.1512902475545456682e-21	0
-3	-2	-3	0	-0.00015857890854842731352	0	0.00012278966809075038511	0	7.6719129821260412705e-05
-3	-2	-2	-9.878042476240721302e-06	0	-1.6689281449473399483e-05	0	3.1506345163834484824e-05	0
-3	-2	-1	0	0.00012106916031495895583	0	-0.0001659584671942689884	0	-3.1290546556338863569e-05
-3	-2	0	1.2793601346710278644e-23	0	-1.9190402020065417232e-23	0	-7.8356160247969848325e-05	0
-3	-2	1	0	-0.00012106916031495895583	0	0.0001659584671942689884	0	-3.1290546556338863569e-05
-3	-2	2	9.8780424762407196079e-06	0	1.6689281449473402871e-05	0	3.1506345163834484824e-05	0
-3	-2	3	0	0.00015857890854842731352	0	-0.00012278966809075038511	0	7.6719129821260412705e-05
-3	-1	-3	3.7211804291675394901e-05	0	-1.9935862109782689444e-05	0	-3.0566516921747829494e-05	0
-3	-1	-2	0	-5.798689462913091179e-05	0	-6.5353723375384260418e-05	0	0.00011965720363138849451
-3	-1	-1	3.4189139620292914481e-05	0	-8.1707730363801185256e-05	0	-2.0859688497077588681e-05	0
-3	-1	0	0	2.0641699141595381141e-23	0	-6.1925097424786143422e-23	0	-0.0003008272847854279175
-3	-1	1	-3.4189139620292914481e-05	0	8.1707730363801185256e-05	0	-2.0859688497077588681e-05	0
-3	-1	2	0	5.798689462913091179e-05	0	6.5353723375384260418e-05	0	0.00011965720363138849451
-3	-1	3	-3.7211804291675394901e-05	0	1.9935862109782689444e-05	0	-3.0566516921747829494e-05	0
-3	0	-3	0	-4.7857106740937688356e-23	0	8.0239553283133950665e-05	0	4.7857106740937688356e-23
-3	0	-2	4.1250591719105557625e-05	0	8.1530160000619790339e-23	0	-6.1875887578658343214e-05	0
-3	0	-1	0	2.6950466803700855049e-23	0	0.0011223921163346819562	0	-8.0851400411102559268e-23
-3	0	0	0	0	2.1155378402616375425e-24	0	-0.000119652791935770622	0
-3	0	1	0	-1.7994380159526918256e-23	0	-0.0011223921163346819562	0	-5.3983140478580748891e-23
-3	0	2	-4.1250591719105557625e-05	0	-6.156825367825892882e-23	0	-6.1875887578658343214e-05	0
-3	0	3	0	3.82940143043967424e-22	0	-8.0239553283133950665e-05	0	3.82940143043967424e-22
-3	1	-3	-3.7211804291675394901e-05	0	-1.9935862109782689444e-05	0	3.0566516921747829494e-05	0
-3	1	-2	0	-5.798689462913091179e-05	0	6.5353723375384260418e-05	0	0.00011965720363138849451
-3	1	-1	-3.4189139620292914481e-05	0	-8.1707730363801185256e-05	0	2.0859688497077588681e-05	0
