# quadratic response-hierarchy projection residual; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	5.0867696280987239718e-22	-5.4327450549971242314e-22	-1.9565313113911171652e-22	2.7434556357229930106e-22	-3.1302383167076070417e-22	2.689289419274131691e-22
-4	-4	-3	6.9264079339194120792e-06	5.448659064277497099e-25	-7.5508147271469089071e-06	-2.1301762625360867095e-23	8.3254239096999513527e-07	2.7675862291910824159e-23
-4	-4	-2	-5.7486127885646779929e-24	-6.0646174752892129391e-06	1.2946979065992049137e-24	4.7901219482852066742e-06	8.9078297639309465258e-24	2.5489910540080121063e-06
-4	-4	-1	4.240700443675656081e-06	-3.8598744873761152244e-24	-2.8265547558869718797e-06	4.7054211696321244519e-24	-5.6565827511547359582e-06	-3.3821867290240391141e-24
-4	-4	0	8.3094165902039724067e-24	1.2645832796207840786e-05	-8.3094165902039724067e-24	-1.2645832796207840786e-05	6.1590606651852865471e-24	4.8216628938207833351e-24
-4	-4	1	4.240700443675656081e-06	-2.9879884299394918586e-24	-2.8265547558869718797e-06	5.9015529423199067143e-26	5.6565827511547359582e-06	-1.1715891602065170753e-23
-4	-4	2	3.5935631628870417646e-24	-6.0646174752892129391e-06	-1.7320094030883220132e-24	4.7901219482852066742e-06	3.7231075195974387682e-24	-2.5489910540080121063e-06
-4	-4	3	6.9264079339194120792e-06	-1.1270647308724218126e-23	-7.5508147271469089071e-06	-1.9477693540065816515e-23	-8.3254239096999524115e-07	-4.0997787798386714813e-23
-4	-4	4	9.1306050016462829558e-23	-1.742857389774160185e-22	1.181902481279532613e-22	6.2217138395462458272e-22	2.0949629814441610261e-22	4.478856449772085172e-22
-4	-3	-4	-7.5508147271469089071e-06	2.0528291632882914791e-24	8.3254239096999513527e-07	7.2877114978627419412e-23	6.9264079339194120792e-06	-5.6710665397258860446e-23
-4	-3	-3	8.4175612436201633269e-24	-1.0920960995279643894e-05	3.479403586770972014e-24	1.086852237477655584e-05	-1.4702818578264522382e-23	3.692758952262968364e-06
-4	-3	-2	-8.9702325976336760209e-06	-3.6634712206975792659e-24	2.5627741218778885427e-06	-1.3067315258427702038e-24	1.4096304012450518804e-05	9.2870397301593139293e-24
-4	-3	-1	-2.1192362361764941177e-24	-3.1947858929744757873e-06	1.8288257550127418129e-24	1.8128237131741831922e-06	2.9904676796677510319e-24	7.3406724323753539961e-06
-4	-3	0	1.9224023043349347653e-05	1.7213631064302411007e-24	-2.5632030724465799129e-05	-2.295150808573654801e-24	2.2537344431757525744e-24	2.4194081683579254558e-24
-4	-3	1	2.4819397345003042547e-24	-3.1947858929744757873e-06	-4.8753520117027802346e-25	1.8128237131741831922e-06	8.4651533344903837748e-24	-7.3406724323753539961e-06
-4	-3	2	-8.9702325976336760209e-06	5.2839209917323738378e-25	2.5627741218778885427e-06	2.0740625675384814267e-24	-1.4096304012450518804e-05	4.1678780496541967239e-24
-4	-3	3	7.5083919520360263177e-24	-1.0920960995279643894e-05	4.6127719599764108225e-24	1.086852237477655584e-05	1.4623961229357778756e-23	-3.692758952262968364e-06
-4	-3	4	-7.5508147271469089071e-06	-3.782110757590529185e-23	8.3254239096999492351e-07	1.0786985781049340328e-22	-6.9264079339194129263e-06	4.3081285781964766484e-23
-4	-2	-4	-6.3563058268739871419e-24	4.7901219482852066742e-06	-1.5347460567060328502e-23	2.5489910540080121063e-06	1.4030036110404152127e-23	-6.0646174752892129391e-06
-4	-2	-3	-1.0741039936163879038e-05	-2.614332834038913544e-24	1.5143875310146276216e-05	8.1170825760106121533e-24	4.22546970812098706e-06	-1.9256112719551896761e-24
-4	-2	-2	-6.4992786233462501286e-24	1.5120679155469289083e-05	5.0690026508177586183e-24	-3.1699229160647410567e-05	7.9295545958747409042e-24	1.457870849708833037e-06
-4	-2	-1	-5.0161113042752192761e-06	2.7427230707772557027e-23	5.2027711297712482343e-06	-5.5284255378515543759e-23	9.6589029575583789419e-06	8.5958792594084894124e-25
-4	-2	0	1.2596359693824302839e-23	1.7955389986291525825e-06	-2.5192719387648605678e-23	-3.5910779972583051651e-06	2.4758612477070620427e-24	-4.6227427601104848261e-25
-4	-2	1	-5.0161113042752192761e-06	8.4815636388311679797e-24	5.2027711297712482343e-06	-2.4559388628657928671e-23	-9.6589029575583789419e-06	-1.5192522701991185422e-23
-4	-2	2	-1.9302549810459071619e-24	1.5120679155469289083e-05	2.7313948587955213513e-24	-3.1699229160647410567e-05	-1.1291151032962933398e-24	-1.457870849708833037e-06
-4	-2	3	-1.0741039936163879038e-05	3.414586149898045342e-24	1.5143875310146276216e-05	-1.0928245564922030653e-24	-4.22546970812098706e-06	3.82423182886925829e-24
