# cutoff=3 energy=1 Q=D^4*Z=0.00013299456817763191771
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	3.2958473662809345073e-05	-7.411937909561076474e-05	-5.1965086891802809239e-05	4.1652249886683496126e-05	1.9006613228993464166e-05	3.2467129208927268615e-05
-3	-3	-2	1.3793704866825873465e-05	-1.3196079268543908157e-05	3.0330398638288271248e-06	2.2425557531068420206e-06	-2.5240117095982052368e-05	1.6430285273155599416e-05
-3	-3	-1	-1.9419766159273376849e-07	5.2942079757361454129e-07	-1.2616998493913935003e-06	1.0703409789485460545e-05	4.367692532952381118e-06	-3.3698491761177224943e-05
-3	-3	0	3.5537059254759919226e-07	-5.9946089708143847953e-07	-3.5537059254759919226e-07	5.9946089708143847953e-07	-3.9780675181605261578e-05	-2.7803229404617014776e-05
-3	-3	1	3.7329845638862009103e-07	-2.8252098169764145817e-07	9.6563955455943154037e-06	-4.9237192651585593537e-06	3.0089082005948807649e-05	-1.5618720740568601695e-05
-3	-3	2	6.7626435420941181015e-06	-2.0682175901389943145e-05	-2.6248822119618846956e-06	3.7469743172451967524e-07	6.2066419951983496853e-06	-3.0461217704498134675e-05
-3	-3	3	-2.3981834947140624742e-05	6.4270690449312733723e-05	3.252501125576940592e-05	-5.5042775375534428047e-05	8.5431763086287828716e-06	9.2279150737783005939e-06
-3	-2	-3	1.5560132328231838275e-06	-1.098225803487276485e-06	3.1708353416219990488e-05	1.0358676455207325987e-05	-2.2694915510303180945e-05	-5.8075584999842747375e-06
-3	-2	-2	-5.5293511654641121146e-05	7.0851241158820089483e-05	2.9164172735068057509e-05	-3.6911183822675918624e-05	5.3776094746893627599e-05	-6.9365677915554215601e-05
-3	-2	-1	3.7749267552643797998e-05	8.5342139392173920853e-05	-1.1113849106448435596e-05	-2.6975617895074788694e-05	-9.1020104445034522803e-05	-0.00020207518238637219195
-3	-2	0	-5.7661752217177536534e-07	1.3102436204525023259e-07	8.6492628325766299507e-07	-1.9653654306787536211e-07	2.6167851267072019124e-05	1.2827952544880290057e-06
-3	-2	1	4.7271341418454375729e-05	-8.3541543364141839737e-05	-1.496885180142431514e-05	2.7638440315955417766e-05	0.00011187632065251449352	-0.00019534774946051468368
-3	-2	2	4.8193851575875236285e-05	7.5833927452395011293e-05	-2.5769730668726420345e-05	-3.9828033619970901105e-05	4.6521046695086427307e-05	7.3922857558621609059e-05
-3	-2	3	-6.3588299733896095252e-07	1.6107722208330807494e-06	2.8816498771533548626e-05	-6.1842057033838279537e-06	1.8575116183683405857e-05	-2.512031581422804059e-06
-3	-1	-3	-1.0321496876078399974e-05	3.8579066180180917976e-06	3.1593199232540154536e-05	-1.234959257207836923e-05	-2.0956953476831962491e-07	2.5862423934136480645e-07
-3	-1	-2	-1.1640590175440094204e-05	0.00010807208888748549803	6.0839208341192989532e-05	-0.00053653082372998072477	-1.2958718907436351766e-05	0.00010615727853376214244
-3	-1	-1	-0.001132834406752970596	-0.00074468903481735579733	0.0013973700245783040111	0.00091995022356252266049	0.0020011331956806075599	0.0013141168808895446231
-3	-1	0	1.2856683919853293242e-06	-9.6804031339689772404e-07	-3.8570051759559879727e-06	2.9041209401906933839e-06	-0.0019009421941045218183	0.0010706876108600286469
-3	-1	1	5.0177282228306457532e-05	0.0013512625732820177701	-6.2926037717880238097e-05	-0.0016598338741992111657	8.7605808967039134499e-05	0.0023939538456468419277
-3	-1	2	9.9753187807426530365e-05	4.6121952494101265893e-05	-0.00049253923625850164897	-0.00022619838137239310269	-9.6639836418111049266e-05	-4.3916261945044659284e-05
-3	-1	3	-8.5731695049883881871e-06	6.7084316213683079731e-06	2.6823315115623973801e-05	-2.0484909301454494923e-05	3.67935533552937278e-07	-1.1987147911652361502e-07
-3	0	-3	-2.6003997075708565985e-07	7.2367595533423448608e-08	-2.8641366560172971484e-05	3.8814086983343709712e-05	2.6003997075708565985e-07	-7.2367595533423448608e-08
-3	0	-2	0.00017102278242037764994	0.00034708619276337484595	1.4241768391323189619e-05	-8.6995908919379007272e-06	-0.00025653417363056646135	-0.00052062928914506226893
-3	0	-1	-2.3282482039811771841e-06	5.4197660048161290576e-06	0.0064016793916868491507	0.0001267814927499432971	6.9847446119435315523e-06	-1.6259298014448386326e-05
-3	0	0	0	-0	1.5623401769013487469e-05	1.7377159106369717952e-05	-0.00010375507783126435403	0.00018915177213269573149
-3	0	1	-7.1464797449254210794e-06	4.9000728212717492188e-07	-0.0036117930873768079071	-0.0053017141330635895666	-2.1439439234776262391e-05	1.4700218463815247656e-06
-3	0	2	0.00038450734441954406966	-4.6763765105589167508e-05	1.9734810133479783754e-06	1.6044132021302667161e-05	0.0005767610166293161587	-7.0145647658383751262e-05
