# cutoff=3 energy=1 Q=D^4*Z=0.00014540175145047026166
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	-3.0161302981475060415e-07	7.9556401068378889233e-07	5.1134293411807710793e-07	-2.5820443063817733211e-07	-2.0972990430332650378e-07	-5.3735958004561161316e-07
-3	-3	-2	-6.3297431656760357618e-07	-1.0354710024407177297e-06	-5.0706934182604616282e-07	2.2346113760296975957e-07	1.7100654875904747144e-06	1.2180147972566217832e-06
-3	-3	-1	-3.5850623200337880326e-07	-5.1097726456958345563e-07	3.3517853795989315357e-07	3.6146135833807584817e-07	6.9983082130456962295e-08	4.4854771869452266355e-07
-3	-3	0	-4.9286132965367479153e-07	1.6445696368550900486e-07	4.9286132965367479153e-07	-1.6445696368550900486e-07	-2.1772857048809694452e-06	2.8150679276934990855e-07
-3	-3	1	-1.439467587367234304e-06	-7.3887229856960043577e-06	1.9980761461507422759e-06	1.0142608102937993326e-05	1.6758256763505239155e-06	8.261655351725966906e-06
-3	-3	2	7.5847102893732788864e-06	3.1816601328414600783e-06	-4.0101822933867156316e-06	-3.4681451666530628563e-06	5.3617919939798453058e-06	-4.2972755071740474934e-07
-3	-3	3	-1.2321745954021527084e-06	-3.1027876861043093308e-06	4.8402806984094363767e-07	-4.0802319497645986202e-07	-7.4814652556120896483e-07	-3.5108108810807691399e-06
-3	-2	-3	1.4749509442851563867e-06	6.3108214330920937928e-07	-5.6420945957926607695e-07	2.0835004338803990816e-06	-1.0988113045656455276e-06	-2.0200824325628086612e-06
-3	-2	-2	-9.6981898525948680518e-07	1.559980429948761966e-06	2.3173448664559054713e-06	-2.805290732095548179e-06	-8.6261638856667505172e-07	4.6532008717240554761e-07
-3	-2	-1	-5.6107296507753342583e-06	-5.0886620847190439156e-06	5.7219479567044223626e-06	5.4379685831177294574e-06	5.3882930389171572027e-06	4.3900490879216736789e-06
-3	-2	0	5.3863215426157201094e-06	-5.2027909331250241936e-06	-8.0794823139235801641e-06	7.8041863996875367139e-06	4.2882219867170416432e-05	-4.0829078260382859356e-05
-3	-2	1	5.3682355325642761631e-05	9.5519021096908892656e-05	-5.3729761010064718333e-05	-9.5572595473820059564e-05	5.3587543956798841451e-05	9.5411872343086545287e-05
-3	-2	2	4.5631807020138518219e-05	-2.3023050814814805399e-05	-0.00011435577684856355755	5.3540531098437200324e-05	-4.5908066318355783607e-05	1.9005954876214992225e-05
-3	-2	3	-5.1597523401613615115e-07	3.2028062372607592308e-06	-1.0566149002547983334e-06	-2.9482924567987033194e-06	-1.2203851675193350401e-06	1.2372779327282903512e-06
-3	-1	-3	1.4645353979277698403e-07	-6.2692571735342173525e-08	-4.3322726723691681721e-07	-2.2193960236608975704e-07	-2.0444507138047152131e-09	1.3667243919070541705e-07
-3	-1	-2	-5.7252978439017834222e-06	1.534960299520625541e-05	9.6622706597708086493e-06	-2.6650382030202778071e-05	3.7568114359672703852e-06	-9.6992134777079940791e-06
-3	-1	-1	-0.0001002415658218948222	-4.7724731035617049782e-05	0.0001390138606923871313	6.7081033224177996892e-05	0.00016171083677329732174	7.6093159882673159231e-05
-3	-1	0	6.2552546721592091196e-05	-9.0099146529848590532e-05	-0.00018765764016477626003	0.0002702974395895457716	0.00019899201571269115279	-0.00034418407405801480347
-3	-1	1	-0.00037886630915520550563	-0.00031112449976004614288	0.00093425109102523800318	0.00077214403630110307278	-0.00020234783644037848661	-0.00016122946297903538297
-3	-1	2	-0.00022762439649851200284	0.00022449422373263660667	0.00041096749422062588781	-0.00040938157692610384385	-0.0001359528476374550739	0.00013205054713590300163
-3	-1	3	1.5461195704647664225e-05	1.6198589209191467073e-05	-3.42398613288011789e-05	-4.0182372310849829601e-05	4.0479085950472718235e-06	2.8044651055748566411e-06
-3	0	-3	1.8611227760581870244e-06	-1.0960676098477894031e-07	-1.4662625083922908098e-06	4.5275240593098059923e-07	-1.8611227760581870244e-06	1.0960676098477894031e-07
-3	0	-2	-3.4758701636626655501e-06	8.7412195007912289979e-06	-6.2058289722241346658e-06	-1.2588186859579649106e-05	5.2138052454939983252e-06	-1.3111829251186844344e-05
-3	0	-1	4.0021358340546575409e-05	3.723015355833336934e-06	-0.0004312039090845051683	-1.8989250687666792784e-05	-0.00012006407502163971945	-1.1169046067500011649e-05
-3	0	0	0	-0	0.00019731064054627289002	-0.00085691268146456797336	-0.00042143246567064794302	0.001648806128372506041
-3	0	1	0.00059454110392176005764	0.00021812136717754316575	-0.0050856629823916926422	-0.0018051559488007744032	0.0017836233117652800645	0.00065436410153262947013
-3	0	2	0.0001780704019743672116	-0.00038184501110183165359	-0.00052040198866715376737	0.001143503328055373372	0.0002671056029615508174	-0.00057276751665274745328
-3	0	3	-3.6326854355030722705e-05	-2.1012376173716150739e-05	9.9965786349820635621e-05	5.918354106291865655e-05	-3.6326854355030722705e-05	-2.1012376173716150739e-05
-3	1	-3	6.2273719973140559294e-06	-2.8001427571842547339e-06	4.37172775331905464e-06	-1.5212402449620962523e-06	-4.7701294128743716141e-06	2.2930626755302226498e-06
-3	1	-2	-6.4751841434291111636e-06	-3.1711416713191204256e-05	5.3575523817593829462e-06	-4.5365746300592722796e-07	1.2391552406023358218e-05	4.7340296338283837979e-05
