# cutoff=3 energy=1 Q=D^4*Z=0.00011216447811078274091
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	-7.204782409020210783e-05	0.00011906963782514790333	0.00010907690038074734659	-8.0294932514750531438e-05	-3.7029076290545238762e-05	-3.877470531039737189e-05
-3	-3	-2	5.341935474647764405e-06	-4.0157978462644778326e-05	-8.5693474931997925289e-05	4.4102583875447677511e-05	0.00012052730918602524556	-5.9169081192043411539e-06
-3	-3	-1	1.218170109108447038e-06	-1.079388085576222527e-05	1.3875385013338993929e-07	-2.1697012359424690887e-07	-4.0707718777255112494e-06	3.3032552938069420772e-05
-3	-3	0	7.2768043287867173932e-07	-1.3836878478167970967e-06	-7.2768043287867173932e-07	1.3836878478167970967e-06	-0.0002777945389921096693	-0.00019417198285357826332
-3	-3	1	-9.4473497782160917606e-06	4.756292722361067444e-06	-2.8209776867290237041e-07	2.6489917454742444124e-07	-2.918834264066698107e-05	1.5063575690725474173e-05
-3	-3	2	2.9525830250996234951e-05	-2.761751301740748252e-05	-9.6577685249669074344e-06	0.00010491712346177229829	2.9802092589043989581e-05	0.00011594941566654722704
-3	-3	3	4.7331301122038861812e-05	-0.0001033242480756903361	-6.0740183077778100854e-05	9.2868852566882766314e-05	-1.3408881955739239042e-05	-1.0455395508807574867e-05
-3	-2	-3	0.00011021623545025158392	8.9889352005200530573e-06	-0.00010618337910942622106	-8.9507727243219045746e-07	-3.9427316043967445582e-05	-8.3922170188985914112e-06
-3	-2	-2	-0.00018923480153864463173	0.00024454023062042126507	0.0001150129318131950612	-0.00013083648910954876659	0.00016883927049477187284	-0.00023597385682108318523
-3	-2	-1	-3.0704856572391334461e-05	-7.2116100015197714761e-05	8.5607891377528492929e-05	0.00022194062709929133787	-7.91012130378829757e-05	-0.00022753295415298954501
-3	-2	0	-9.3292245186513892739e-07	-1.3263907809174562505e-06	1.3993836777977083911e-06	1.9895861713761845875e-06	-0.00047153986447023377247	-2.2982994907799602767e-05
-3	-2	1	-3.6208123381241133162e-05	6.5092263731791714931e-05	0.00010923489726952140993	-0.00021160302430095240429	0.00010984542439531941359	-0.0002279292574065296909
-3	-2	2	0.00016454924726027112241	0.00026100292044507761172	-0.00010532371413658505298	-0.00015046874702018381265	0.00014150015675382161709	0.00024103563364743257782
-3	-2	3	0.00010092345188858614364	3.9019765448137051795e-07	-0.00011888729410365542606	-4.9718648352757111456e-06	2.1665255819482520623e-05	-2.9243789023691033144e-06
-3	-1	-3	-1.3036955853294575209e-07	-3.4063994798633421684e-07	-3.1289593360366976045e-05	1.0683969763000448306e-05	1.0560234011988605131e-05	-3.2206833063471485519e-06
-3	-1	-2	-4.4661305803264646577e-05	0.00043621567710254004896	0.00016902876122920653637	-0.0015035224013169115349	-1.7522421909706305097e-05	9.7437685004645748204e-05
-3	-1	-1	-0.0018217255712056693029	-0.0011984415695356583943	0.0021819071654355461955	0.0014351682842207572934	0.0032832695481814617132	0.0021601564243862183233
-3	-1	0	1.9698521981259690518e-06	-5.2497094821149313493e-07	-5.9095565943779063085e-06	1.5749128446344795107e-06	-0.0018128944463274530852	0.0010214072149778304598
-3	-1	1	8.1370186528392939485e-05	0.0021737937262225311488	-9.7288190481265723756e-05	-0.0025915144474156961291	0.00014682236910391308115	0.0039298667312518973174
-3	-1	2	0.000399519357351297785	0.00018813084629295599129	-0.0013801079840304779703	-0.00063590076642091708081	-9.0774955988292280532e-05	-3.575411377102454669e-05
-3	-1	3	2.1947416200735076611e-07	9.8648763493498493896e-08	-2.5579666422601520897e-05	2.1593000988858420845e-05	-8.3070813121931561467e-06	7.2963157597796387887e-06
-3	0	-3	4.4989739593599671051e-08	5.6596306851799445461e-07	-0.00020033059288279648829	0.00027132328380286290133	-4.4989739593599671051e-08	-5.6596306851799445461e-07
-3	0	-2	0.00032966446071131677315	0.00066914630398950502958	2.8606997852331203557e-05	-1.79370870480943097e-05	-0.00049449669106697521394	-0.001003719455984257436
-3	0	-1	-4.0035543614418911827e-06	8.5936412260343527145e-06	0.0081360761477622372401	0.00016195914012540158313	1.2010663084325674395e-05	-2.5780923678103059838e-05
-3	0	0	0	-0	2.6509009861586881908e-05	3.0384503658331104897e-05	0.00056904059489932537139	-0.0010535778555679918729
-3	0	1	-1.1260451434844176565e-05	7.0185423065347955932e-07	-0.004593227175268426582	-0.0067403735355352776062	-3.378135430453253139e-05	2.1055626919604384662e-06
-3	0	2	0.00074137652524973668769	-9.0316257781216830749e-05	4.3927372773650660202e-06	3.2085186745856912279e-05	0.0011120647878746050315	-0.00013547438667182526645
-3	0	3	-3.0389402529494565293e-07	-7.798210410093206663e-07	-0.00011767658429057035682	0.00031642711170015773393	-3.0389402529494565293e-07	-7.798210410093206663e-07
-3	1	-3	2.9461383350600932666e-07	-2.5134970704734631612e-07	9.8842626503122546716e-07	-3.3226465181612383718e-05	3.4861588171065800385e-08	-1.0824138686823447515e-05
-3	1	-2	-0.00037547703706474594952	-0.0002315218246503933223	-0.0012962166676952027212	-0.00078396240652087265544	-8.4892778250482436343e-05	-4.4698466284846378159e-05
-3	1	-1	-0.0018580500415396705542	0.0011210985376696720826	-0.0022133315646220342622	0.0013346209321373940851	0.0033608185599969774005	-0.0020286746808716223794
-3	1	0	-5.813689572441933508e-07	-3.9194513457282987502e-06	-1.7441068717325799465e-06	-1.1758354037184897098e-05	-0.00013540469353953335898	-0.0020726163902566297446
-3	1	1	0.0020043650837825929822	0.00087376682631653645843	0.0024035723319032224407	0.0010459978066579772929	0.0036095229194445569397	0.0015753026722916320824
-3	1	2	-0.00033948871668013839813	0.00027558810671930998896	-0.0011822824911505685607	0.00094363198492061653271	8.1908170555076656059e-05	-5.8433832381343310015e-05
-3	1	3	-1.6713533529622258055e-07	1.753410906107280038e-07	-5.1830558059651365123e-06	-3.2459417663250964687e-05	1.5605499333588229588e-06	1.0995146978361050263e-05
-3	2	-3	4.3192419366527821131e-05	9.6052865668224624907e-05	4.0346522340845384638e-05	0.0001133286540961868106	-1.6294737805964232502e-05	-2.0500429604100083378e-05
-3	2	-2	0.0003085603383193844299	-1.3739379805378858377e-06	0.00017899400027296416093	-6.6841325322922254587e-06	-0.00028384650720611242971	-4.6232255614853963845e-06
-3	2	-1	3.2283738183892785305e-05	-6.5305356325642873187e-05	9.6415327244259919795e-05	-0.00021239319016976940138	9.5979439936841497226e-05	-0.00022887031136261019675
-3	2	0	9.4398087733085794276e-08	-1.7043409381561373831e-06	1.4159713159962869803e-07	-2.5565114072342058629e-06	0.00027683859686063942533	0.00038174560653813093035
-3	2	1	-7.8692020389883152892e-05	1.0725959698686278387e-05	-0.00023836494489362229946	2.3259905700709165404e-05	0.00024065382861759518091	-1.4341932305359493955e-05
-3	2	2	9.7330780806781065986e-05	-0.00029371103904410691705	6.5424166503180819997e-05	-0.00015990373308473509106	8.057200470699076543e-05	-0.00028066282548142528451
-3	2	3	8.5633212744479989811e-05	7.1468581030946894345e-05	7.861586700675820855e-05	6.127532569983590153e-05	3.3222634739974510668e-05	3.0618363897722966768e-05
-3	3	-3	-3.0531793460882795574e-05	0.00010999727395783821023	-2.4394144598144141433e-05	9.3563409701437840371e-05	6.1376488627386532944e-06	-1.6433864256400366473e-05
-3	3	-2	4.394111663641687228e-05	6.1440793080620105158e-06	9.4898452668386320901e-05	-4.7391510745040553909e-05	7.643600404795417632e-05	-8.0303385079653839861e-05
-3	3	-1	9.1245808770570798985e-07	1.0685352597159301593e-05	1.8202341879215162691e-08	-1.0707815672134973313e-07	-2.6827672374794786866e-06	-3.2377292261641955884e-05
-3	3	0	1.1252448645963577336e-08	1.5201998100079646702e-06	1.1252448645963577336e-08	1.5201998100079646702e-06	-0.00031442299942605609394	-0.00012617138754645251201
-3	3	1	8.1211215236584007114e-06	-7.2822739096760930613e-06	-2.350080401061150918e-07	9.7141771372681249048e-08	2.5068388691293545345e-05	-2.2138247043146322971e-05
-3	3	2	-3.1725003934212878435e-05	-4.4107382325965726705e-06	-3.0312594185271271276e-05	-8.6906906500281412239e-05	-2.1186146234124090442e-06	0.00012374425240152726359
-3	3	3	-2.5032853102891579247e-05	-0.00012331224666093257921	4.7171574364341569145e-05	-0.00011616405431865646004	-7.2204427467233148392e-05	-7.1481923422761191669e-06
-2	-3	-3	-0.00010500969785432244877	7.0505081220323696507e-05	-3.3773072368736637425e-05	-2.2501333177131161779e-05	0.00010377953760495160101	-2.4502054303084635893e-05
-2	-3	-2	-1.0588729366128243282e-05	-0.00027241633156006395209	-3.6586908403093169808e-06	0.0003074099428021817809	1.6076765626592218753e-05	-0.00018869858264320871926
-2	-3	-1	-8.9331708601774387061e-05	-3.9338986094666061335e-05	-0.00038714645600779857507	-0.00021387792558650830219	0.0013401027852269443638	0.0007203117489488569886
-2	-3	0	-0.00092241746289537570463	0.00063470333440010301071	0.00061494497526358383923	-0.00042313555626673530433	7.1974261349342301661e-07	1.2218343264029182617e-05
-2	-3	1	-4.9739014316197059664e-06	-9.6154487727621827122e-05	-6.0862499092435600378e-05	-0.00043681000055819979491	-0.0001925353001405462046	-0.0015027389771298431745
-2	-3	2	0.00026166297545381729181	0.00010842713566955306296	-0.00028941310718135268955	-0.00010662984552386042477	-0.00017245668531821176962	-5.1517632616237567429e-05
-2	-3	3	9.0540330479686446951e-05	-6.543065747593169155e-05	2.4898360288794219031e-06	-4.1414342086838856999e-05	6.285005634867038202e-05	-8.5034780404126655883e-05
-2	-2	-3	-7.5028990916318848538e-05	0.0001680388996430330227	-0.00016878023293038509718	0.00022528657016375881446	0.00016253948256446929714	-0.00026221697987119455811
-2	-2	-2	2.533003000641327791e-05	-1.8160563218581360649e-05	-1.5525067031512286548e-05	2.643429671353118849e-06	-9.8049629749009930565e-06	1.5517133547228242224e-05
-2	-2	-1	-0.0077991537405454995635	0.00054662316757276359531	0.0040342805392286334304	-0.00029447056125278639775	0.0075297464026337313989	-0.00050430521263995450355
-2	-2	0	-1.7443479284888987091e-05	4.0314920616634595672e-05	1.7443479284888987091e-05	-4.0314920616634595672e-05	-5.7243727793721407772e-05	5.2069269111893636665e-05
-2	-2	1	-0.0049615391151382479476	-0.0060397237816582531947	0.0025547148912904455581	0.0031275809761942855933	-0.0048136484476956056464	-0.0058242856109279352028
-2	-2	2	-1.0989604058176309797e-06	-3.0368131186781796251e-05	-1.414456295963554328e-06	1.5436126532661941429e-05	-2.5134167017811853077e-06	-1.4932004654119856516e-05
-2	-2	3	6.565357044104489447e-05	-0.0001688252465176765763	5.2350088914426303041e-05	-0.00027815494135210127018	7.8669106236980802858e-05	-0.00029798679191318523099
-2	-1	-3	9.4424288692801231279e-06	0.00023590035854015054613	-3.9495347745762985421e-05	-0.0002399568320163240735	6.8701633357342458238e-06	-7.7281295021325681956e-05
-2	-1	-2	-0.0036017841068239600695	-0.0018321623756454331888	-0.0067468595750215078558	-0.0033214531235541181441	0.0069752138943347139974	0.003492888937422492044
-2	-1	-1	0.0034875761853595606439	-0.0025009885861383696071	-0.0064439578447597388802	0.0046290298089477531843	-0.00053119452595938219074	0.00037294736332898602987
-2	-1	0	0.00050998701917039665574	0.003276839902235417594	-0.0010199740383407933115	-0.0065536798044708351879	3.7990725399952637452e-05	0.0001414828017334591743
-2	-1	1	0.0041325531309104020575	0.0013417514070177387082	-0.007701165672765418295	-0.0024974083661547749093	0.00056394058905538495263	0.00018609444788070275104
-2	-1	2	0.0028785055908633594944	-0.0028443153230791116785	0.0054209336626156743102	-0.0052438458698164146579	0.0055889724221711966495	-0.0054662382579873190075
-2	-1	3	-6.7519581915681685705e-05	-0.00023101268256675602211	3.9451646720992770306e-05	0.00024352994537680671024	-3.1862505703456867035e-05	-7.2831806585568444664e-05
-2	0	-3	1.0398037131416805831e-07	2.6632692874205713989e-07	0.00025571838975927904409	0.00039309948132611112785	-6.9320247542778696715e-08	-1.7755128582803810208e-07
-2	0	-2	3.3453716976143528191e-05	-1.6998930950735680548e-06	-1.2617385592573666545e-05	-0.00029619820277964367498	-3.3453716976143528191e-05	1.6998930950735680548e-06
-2	0	-1	-8.9293044271473382746e-05	-5.0752830154608451283e-05	0.030016536845004628681	-0.07563258723779130166	0.00017858608854294676549	0.00010150566030921690257
-2	0	0	0	-0	2.8553879041518420586e-06	1.0808923488939470967e-05	-9.5717848941632207443e-05	-3.6439183276985352504e-05
-2	0	1	-2.9402371676384160013e-06	0.00010850821933341766473	0.079170886519173769291	-0.01935754423025505544	-5.8804743352768320026e-06	0.00021701643866683532945
-2	0	2	-8.920251065080549239e-06	3.7920833697343646459e-05	-0.00028997364484560389942	-0.00013136966926107916838	-8.920251065080549239e-06	3.7920833697343646459e-05
-2	0	3	1.02145613607892632e-06	4.4518143241861916723e-07	-0.00035458210668332242835	-0.00030751368020544024009	6.8097075738595091531e-07	2.9678762161241276051e-07
-2	1	-3	0.00021835343740132052764	0.00010380503512652713429	0.00021351952566802360903	0.00013366205823197186559	-7.4395783044872495636e-05	-2.4649337340360805517e-05
-2	1	-2	0.0031673951287103860319	-0.0025046665913436775945	-0.0059687561286935588226	0.0046065139133437309552	-0.0061517731930571650095	0.0048079235480155430721
-2	1	-1	-0.00083656271990079186969	-0.0042638328526241739067	-0.0015464704123990516329	-0.0079411601267424976325	0.00012665502740253207939	0.00058650557850585104819
-2	1	0	-0.0031801571511104425975	-0.00095342442270657007559	-0.006360314302220885195	-0.0019068488454131401512	0.00025602920064863920807	9.8880905279621975345e-06
-2	1	1	0.0030174896537555956008	-0.0030548557854019196996	0.0055628126869354801651	-0.0056105895715256922512	0.00047216662057571054866	-0.00049912199927814703947
-2	1	2	0.0012609565218052759972	0.0038469088329377574068	-0.002416850829817769955	-0.0071191100655097995162	0.0024693819367141607579	0.0074064638656926575985
-2	1	3	-0.00022984247449689824733	-3.238779373925514284e-05	-0.00024117036694344800847	-3.4316870449754280181e-06	-7.2838194016782833247e-05	-2.0447966811178288287e-05
-2	2	-3	-0.00018621206469996860722	7.5467197567706968331e-06	0.00027058792442716256147	-5.5558039149029388095e-05	0.00030453332608475409439	-4.2069839270533393905e-05
-2	2	-2	2.7105429647805504825e-05	9.5470526855557864192e-06	1.1561512984893250301e-05	6.6128508070094831634e-06	-1.5543916662912256218e-05	-2.9342018785463028323e-06
-2	2	-1	-0.0053070147239694083832	-0.0057359992146775330008	-0.0027426457253075312015	-0.0029747389873226648058	0.0051287379973237543634	0.00552252045470973639
-2	2	0	4.5097757647588674994e-05	-1.4107951243557170353e-05	4.5097757647588674994e-05	-1.4107951243557170353e-05	-0.0001008049462572964156	7.3798293962715930287e-06
-2	2	1	0.001616324682300901254	-0.0076558261660291792444	0.00082618701206507965795	-0.0039629953308538082984	0.0015802753404716431921	-0.0073856616703507410246
-2	2	2	1.6443609460830969395e-05	-2.5083058337148022806e-05	1.6914360753418505889e-05	-7.058365331722709439e-06	-4.7075129258753543549e-07	-1.8024693005425311673e-05
-2	2	3	0.00015650598536938296499	-9.0222656066761306262e-05	-0.00027000918306264228442	9.0361624812216923041e-05	0.00028434344562135014821	-0.00012038952058598548168
