# cutoff=6 energy=1 Q=D^4*Z=0.00012464480031061276493
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-5.7921206174029732422e-26	9.7949088904254475287e-25	-8.6235345661072335058e-25	-2.1873199845960852899e-25	9.2027466278475304856e-25	-7.6075889058293622388e-25
-6	-6	-5	1.7337628388460863465e-19	1.6191763225544722442e-18	-1.3916132234838291289e-18	4.5193424895843495268e-19	1.4618843275190645642e-18	-2.4853326858154887518e-18
-6	-6	-4	-3.3849457861408075294e-15	5.7031196365062450321e-15	3.5768893011369581615e-15	-6.4990048967738697099e-15	-2.8791527249422589882e-16	1.1938278904014370167e-15
-6	-6	-3	-4.4978394752394271328e-13	1.3390011104131629472e-13	3.7520600295264662874e-13	-2.1328798603665190598e-13	1.4915588914259211859e-13	1.587757499906712225e-13
-6	-6	-2	3.6881034243326344427e-12	3.8385733272815930091e-13	-3.688684079021365528e-12	2.4277019941142918616e-12	1.7419640661935020452e-15	-8.4346779805273535379e-12
-6	-6	-1	2.1069129429710263254e-12	6.2114456445327477888e-12	1.3797304737421867475e-11	-6.0223303650203228501e-12	-9.5425306082357363609e-11	-1.1346916770745518534e-12
-6	-6	0	5.9992228247597010965e-11	-2.4528662289732176287e-11	-5.9992228247597010965e-11	2.4528662289732176287e-11	-1.0615038531736320862e-10	1.241178322152467636e-10
-6	-6	1	-4.6811077309525271675e-11	2.7564498521796320891e-11	5.4237615301784785745e-11	1.1501760030235581596e-12	4.4559227953557058572e-11	1.7228804714891926179e-10
-6	-6	2	2.3360994874244064143e-11	-1.6273202131850873193e-11	-6.0246376891932051324e-12	8.2077284639369291736e-12	5.200907155515257784e-11	-2.4196421003741835288e-11
-6	-6	3	-4.757827534602566377e-12	-6.6947753937968411633e-13	6.9351523309037844452e-13	-2.9945714566310876583e-15	-8.1286246030243754611e-12	-1.3449442216726303804e-12
-6	-6	4	3.9690859406477200352e-14	3.5832254424530212046e-14	-2.4335640830500388087e-14	3.8499045231216578092e-14	2.3032827863965215243e-14	1.1149694948362018205e-13
-6	-6	5	-4.3785880309527838146e-18	-2.071118725017335379e-17	6.1336450031490416738e-18	4.9377143321264567715e-18	2.1060683666355091999e-18	-1.8928167501656278579e-17
-6	-6	6	-2.5937726533621054523e-23	8.9825812266650850993e-24	9.9791002226917211871e-24	-1.1095652387873354974e-23	-1.5958626310929333336e-23	-2.113071161208270609e-24
-6	-5	-6	-2.5050717248150194132e-19	-2.8979035697177884867e-18	-1.3936871692929739258e-18	-1.7508210996676196789e-18	1.411913146892313498e-18	4.3569211527741378981e-18
-6	-5	-5	1.2189043910095936375e-14	-4.6974937483586283265e-14	1.8887208851140754107e-14	3.1403362722128054308e-14	-3.351406154325587965e-14	2.4966562258175491289e-14
-6	-5	-4	-1.6147289371588236609e-12	2.1198858784731619665e-12	3.4690769705720745821e-12	-3.8752215475259777178e-12	-1.9142528074768575343e-12	1.6641981166977289956e-12
-6	-5	-3	1.894828715454670499e-10	-2.0056505683902026934e-11	-8.2523466413741331836e-11	-1.9549656803033376617e-11	-2.4142663240136517895e-10	7.2695772706193008433e-11
-6	-5	-2	-1.6376453821395418641e-09	-3.264296319256924355e-09	2.5212697855795964537e-09	2.4987277505715886484e-09	-1.3902383175303657488e-09	3.5460695813418016509e-09
-6	-5	-1	-1.326697433429696195e-08	-1.368903392207111955e-08	1.2891781849931826761e-08	1.6855427453988167768e-08	1.5142936756122639547e-08	-2.1429337375141269156e-09
-6	-5	0	-8.261977367212048657e-09	1.5426747419300140669e-08	9.9143728406544580575e-09	-1.8512096903160167479e-08	1.1883251100436549766e-08	1.3242875338174323879e-08
-6	-5	1	7.9815044459006351237e-09	-2.0355680529597378775e-08	-8.9539628554640317429e-09	9.8776983652883175008e-09	3.1192123980836474782e-09	-7.2745591351142690108e-08
-6	-5	2	-8.1864657841623327025e-09	9.118224505361486698e-09	3.5494800586949702667e-09	-4.1201308756758270213e-09	-1.5685697205749575336e-08	1.7054346326894892127e-08
-6	-5	3	4.9679615138319424997e-10	-5.0939832930201592482e-10	-3.4024818574701713741e-11	5.375045844257911832e-10	9.3688427180855241807e-10	-1.2295568456104646676e-10
-6	-5	4	-8.4745842105546267321e-12	2.7090695509836500141e-11	-1.2465353747055128105e-13	-2.5976861909268146716e-11	-1.2867693237670129326e-11	8.1649658781695692397e-12
-6	-5	5	4.0954661299214840243e-13	2.6832314341013808188e-13	1.0392983578144059237e-13	1.1427580454226812777e-13	5.9538577137201868539e-13	4.3626357663443386136e-13
-6	-5	6	-2.469534773349295695e-17	-2.6376245020147175766e-17	5.3772130920475105612e-18	-3.8125569313666119392e-17	-2.0214336823453364687e-17	-5.8147552781535609619e-17
-6	-4	-6	-6.4361605134405513144e-15	-1.319339217001464757e-14	-7.7012835910453895224e-15	1.7444962554680422695e-14	1.157034957413747924e-14	1.5634171335610325064e-15
-6	-4	-5	-4.6681776205930917365e-12	-6.9373290830176100066e-13	3.5617704858540466511e-12	1.9923841647757459433e-12	2.7523967560284729244e-12	-7.6142784185848359427e-13
-6	-4	-4	-3.8904546524551607477e-10	8.9771853154044609319e-10	-3.5464927892880949082e-10	-6.0808662329146700156e-10	9.3821747679708370638e-10	-7.3849117401920208653e-10
-6	-4	-3	-6.1415925938122577335e-09	1.220469636860488422e-08	1.7541095930916220001e-08	5.0682903916203373843e-10	-1.1104942720263776764e-08	-2.5085164789425814942e-08
-6	-4	-2	1.262546806333502435e-07	8.6488040180604033606e-08	-1.9113053303111527162e-07	-5.5040832215370179566e-08	3.4970241621798569803e-09	-1.4938245611107174169e-07
-6	-4	-1	1.4847811792863550788e-07	-2.3233924057711835858e-08	-1.9742248951890956859e-07	2.9505246473266352425e-08	-1.0117874949617486555e-07	2.1382558453205615377e-08
-6	-4	0	-6.042980989722257542e-08	-1.0197714435686302099e-07	9.064471484583386313e-08	1.5296571653529453811e-07	2.0385639364548606188e-08	-1.4466606892658251139e-07
-6	-4	1	-8.1830960426062324282e-08	1.2510278422979671921e-07	1.1928563887628987286e-07	-3.9598491765551536861e-08	-1.384320705121441953e-08	5.9222273831657414135e-07
-6	-4	2	3.7003395952004040444e-08	-1.6177942812632239068e-07	-3.0481900037698467698e-08	9.37925733950646479e-08	5.0046387780615172701e-08	-2.977531375888379027e-07
-6	-4	3	-5.2026764015449832138e-08	5.9835444840447029876e-08	-5.7286805495069445627e-08	2.1799907432678051593e-08	-1.8043593535765893835e-07	1.4873743292446480403e-07
-6	-4	4	4.9133742697202067347e-09	-1.2860669561198098857e-09	-1.3978355164452588386e-09	2.5187082681275354711e-09	5.972225888135051677e-09	5.896078339478208494e-10
