# cutoff=3 energy=1 Q=D^4*Z=0.00014258975925350887291
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	-1.6635640371120590842e-05	-1.0355813449020787032e-05	7.2121017781449674045e-06	-2.5673801654564192562e-05	9.4235385929756259791e-06	3.6029615103584979594e-05
-3	-3	-2	-1.4991241549698026706e-05	3.7641735892866426741e-05	6.49015520723229773e-05	-5.8093933480087655934e-05	-7.4865465783937430125e-05	3.0678296380831843789e-05
-3	-3	-1	4.43926692277181616e-05	-1.0064836424802191618e-06	-3.41317909689662098e-05	4.7064471051967427126e-07	-3.0782634776255855401e-05	1.6075167958816347775e-06
-3	-3	0	-1.2096867433074680021e-06	7.9197749339861923988e-06	1.2096867433074680021e-06	-7.9197749339861923988e-06	-2.7860336958774075788e-05	1.2952973081788045131e-06
-3	-3	1	-3.1007486403134549408e-05	2.5568214436969598306e-05	1.3971543151861968169e-05	-2.3182815539190967734e-05	-5.1107829753817742024e-05	7.1561966933358900198e-06
-3	-3	2	3.3759311390183610157e-05	-3.5059526354317069861e-05	-3.0869104461983319458e-05	-6.6477374846608143689e-06	4.335310392300433507e-06	-6.2560895758466828886e-05
-3	-3	3	3.7613278888558365819e-05	3.929620047268145576e-05	6.6986488600042178769e-05	-7.718850700047770336e-06	0.00010459976748860055136	3.1577349772633687118e-05
-3	-2	-3	-7.7588380248556874388e-05	-2.5285383441740608075e-05	5.5486296511825729965e-05	-2.5594131688839529138e-06	4.0597515907339721077e-05	2.6991658887663243634e-05
-3	-2	-2	-7.4160273951034728844e-06	1.1330908457657092462e-05	-5.3122943651963470445e-06	-2.2403317927986819426e-05	1.6436335457851556795e-05	5.4069552415011790382e-06
-3	-2	-1	-6.7454113531763032919e-05	5.4538584310950263346e-05	0.00010784565632318059917	-0.00010569999769984486497	-1.3328972051072082646e-05	4.7784242466838939894e-05
-3	-2	0	1.2858065737547608799e-05	2.366312403711350699e-05	-1.9287098606321414893e-05	-3.5494686055670263873e-05	0.00016506918952007766546	-0.00010897589411906104988
-3	-2	1	3.3141164902328832124e-05	4.813427744384585525e-05	-1.655769888952089941e-06	-4.2570110641824587437e-05	9.6111954929082316491e-05	5.9262611047888390876e-05
-3	-2	2	3.2632969074551373761e-05	-2.4966442264499204317e-05	-8.4259104000000161253e-05	4.3871495181316673634e-05	-3.5309650388173104e-05	6.421831784567868853e-06
-3	-2	3	-1.7306529472722972685e-06	3.3414260895011563387e-06	0.00010381162718905672499	1.0708769536944700394e-05	6.7477098512098860066e-05	1.0480605780797623268e-05
-3	-1	-3	-3.988336932191406545e-05	4.2607425683496068865e-05	8.5858873657634887785e-05	5.3224985043350697429e-05	1.1263744769369103419e-05	-6.0349087364612968008e-05
-3	-1	-2	-3.8871549351561989838e-05	5.2198674069909499441e-05	-0.0001855882627628592811	-0.00011911362916228305944	0.00015110145540877262531	-1.8741196523722716052e-05
-3	-1	-1	-0.0001194967315620681079	-6.8403941004089186678e-05	0.00015990340449256531413	0.00017699514592806541661	0.00019858679019363900957	2.8216677084202129873e-05
-3	-1	0	6.9331571311028925529e-05	-0.00018131386155199519564	-0.00020799471393308674948	0.00054394158465598555982	0.00095969407139809140891	-0.00081680581398207248358
-3	-1	1	-0.00058192761014161083297	-0.00022679132989184615796	0.001216224423864324623	0.00016470078757108163898	-0.00052955840656050776755	-0.00051567320210445678069
-3	-1	2	-0.00022137535774116324496	0.00022463110848399634725	0.00047350629838847549781	-0.00038889854918497916572	-9.5309887417507145645e-05	0.00014249738813350491091
-3	-1	3	-0.00016516822516855024288	3.9116836381532733076e-05	-0.00023882152565202650007	-0.00025428813836527884486	-0.00024477540038589238247	-4.564587640689355758e-05
-3	0	-3	-5.6683540364691329441e-06	5.5218439000903926206e-06	-2.6153737844898530487e-05	1.3571967465048709757e-06	5.6683540364691329441e-06	-5.5218439000903926206e-06
-3	0	-2	5.712544792176886191e-05	0.00011149021199220943623	0.00017847765285381196458	-0.0001714664204642245011	-8.5688171882653289477e-05	-0.00016723531798831415434
-3	0	-1	9.4504885339712595138e-05	-0.00018864504372838899983	0.0011391859351593438664	4.258129298248656305e-05	-0.00028351465601913778541	0.00056593513118516705369
-3	0	0	8.9067904234610269107e-44	-3.5627161693844107643e-43	-0.00090424983177658725848	-0.0010455299664434186853	0.00058042124843874030177	-0.00021046851209772769894
-3	0	1	0.00058683366886767482622	0.00016770659380496949313	-0.0054940765984309199166	-0.0032228140944978219545	0.0017605010066030243703	0.00050311978141490847939
-3	0	2	0.00026999879794107272627	-0.00048609252176813600149	-0.00063445296443776270055	0.0011907891101897349808	0.00040499819691160908941	-0.00072913878265220394802
-3	0	3	-6.1116161554983987502e-06	-2.107378403766918922e-05	0.00019180458402599955383	-3.2569099776783019752e-05	-6.1116161554983987502e-06	-2.107378403766918922e-05
-3	1	-3	-1.8798493251076588579e-05	6.3131729158897963291e-05	0.00015982783354284336324	-4.3433609136496909793e-06	7.2074437765357710788e-05	-6.457951613011452441e-05
-3	1	-2	-1.6297377443754646679e-05	-2.524492420168240566e-05	6.8098888433488396002e-05	-0.00019233659238114688512	5.8495510382376161244e-05	-5.8300909888049827295e-05
-3	1	-1	-0.00034579538255921686779	5.8006846093285277543e-05	-0.00014257959897875466205	6.5469618714049523326e-05	0.00089480654869889594133	-0.00010855091956580632286
-3	1	0	9.4907970248664469902e-06	0.00036523906028447538676	2.8472391074599337583e-05	0.0010957171808534261603	-0.00066420092519946986962	-0.0031658981115494661679
-3	1	1	0.00045593646959191737366	9.1824937908517486858e-05	0.0034980985662067714051	0.00036756050054925006347	-0.0021302891574310192299	-9.2085686823697602893e-05
-3	1	2	-1.9833043589832032136e-05	0.0001141215127038203175	0.00024550381960808121675	-0.00048205724032135459584	-0.00015250147518878866336	0.00041221088921640779449
-3	1	3	1.3695846710119795497e-06	0.00017433426879064374266	-0.00027137277104392611106	9.4646370378156517884e-05	9.1827175018987340161e-05	0.000142785478664591561
-3	2	-3	2.6909790544950185306e-06	-2.3397655168506835334e-05	-1.1812481746109431197e-05	-4.6062934850797732978e-05	-1.0565966885234640176e-05	-7.3109680653583199845e-06
-3	2	-2	5.0881395191442314283e-06	2.2030683878433646991e-05	-1.2472451778818818071e-05	2.4895509399963116926e-05	-2.0104661057535164366e-05	-8.1505164176873501721e-06
-3	2	-1	0.00022228552675924474757	-3.2144195718265564728e-05	0.00015926325480096638733	4.5303843503176692532e-05	-0.00034833007067580152227	0.00018704027416115007925
-3	2	0	-8.5184358546851120545e-05	-0.00028975590658583341578	-0.00012777653782027666727	-0.00043463385987875015077	0.00062076502938415148089	0.001004349663245945011
