# cutoff=6 energy=1 Q=D^4*Z=0.00012519956063390138244
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-1.5697413083074815984e-12	-6.7053776118392374688e-13	-5.1674748078133157617e-12	2.6057501819074349947e-13	6.7372161161207973601e-12	4.0996274299318029789e-13
-6	-6	-5	-7.5893595827419832537e-12	4.3448225925185099649e-12	4.6099444010300243626e-11	2.3356857316074641995e-11	-4.6212101313069915031e-11	-3.3242015890311779767e-11
-6	-6	-4	4.3706053490483122212e-11	-1.7913490728812414711e-11	1.6164308641684718266e-11	4.6540463092932046161e-11	-8.9805543198251763949e-11	-4.2940458546179450405e-11
-6	-6	-3	1.4110253550723232697e-10	1.2561175091095698214e-10	-8.6311774145909787612e-11	-8.2253558242650381661e-11	-1.0958152272264507871e-10	-8.6716385336613200952e-11
-6	-6	-2	-2.8714039247999192945e-11	-1.6019191456114696956e-10	-3.945820827057275403e-10	4.4408284821105324205e-10	1.2698883658611801157e-09	-8.5167280094971881747e-10
-6	-6	-1	9.5402463584180754264e-11	-2.9611489229805212774e-10	-7.4960617380274672258e-10	2.9861186743844324691e-10	3.9252222613113963786e-09	-1.49818508423466989e-11
-6	-6	0	-4.0539199704608307644e-10	1.040925694895154077e-10	4.0539199704608307644e-10	-1.040925694895154077e-10	3.9306025600154029115e-10	-3.6344792633035253339e-09
-6	-6	1	-1.6777416880766529984e-09	2.5970329639305692566e-10	1.8045700908884913346e-09	-3.686267496903172229e-10	7.609704168710311544e-10	-6.5354071978356178342e-10
-6	-6	2	1.4571833841599706472e-10	3.5779413553999728354e-10	-2.1344103749487099839e-10	-6.0819714860285746242e-10	-2.03168097236621801e-10	-7.5120903918858069174e-10
-6	-6	3	-5.1669459693160858972e-10	-2.4084538037336058014e-10	2.9757689358665205618e-10	3.6445413234327561121e-10	-4.3823540668991301538e-10	2.4721750393983001043e-10
-6	-6	4	3.2666609755071470895e-10	-1.5406268006922328652e-10	-3.4605691401167607501e-10	2.1922052353497540823e-10	-2.9086224691442052309e-11	9.7736765198628169647e-11
-6	-6	5	-1.6347460066582238522e-10	-3.0059876622497972332e-11	5.7918764349087721129e-11	3.3940535029662586738e-11	-1.2666700358008159691e-10	4.6567900885975398719e-12
-6	-6	6	3.5763759206357865097e-11	9.2490031561550235445e-12	3.6894210869683060602e-11	2.3158651315788064369e-11	7.2657970076040932162e-11	3.2407654471943087914e-11
-6	-5	-6	2.3366023661629874582e-11	4.3665678295253462373e-11	-2.8841819977224859343e-11	-2.4344039254544769907e-11	6.6882631939084119979e-13	-2.3378978916466150886e-11
-6	-5	-5	-1.7560983550376257349e-10	-2.7428296274563037434e-11	1.4638178694965514513e-10	-1.9585011410866091277e-12	6.4350015654859935298e-11	3.4872456670562255503e-11
-6	-5	-4	2.2425206276950240938e-10	3.0878077094993660408e-10	-1.5249978378990356396e-10	-2.2522853865824053028e-10	-1.457533644168741785e-10	-1.8163548310210426912e-10
-6	-5	-3	-1.7909504656500603643e-09	1.5791481673047818869e-09	1.7695913936703524504e-09	-9.7854648872628348524e-10	6.3258194184953331131e-10	-1.5273855200657581028e-09
-6	-5	-2	-3.532868499713047695e-09	-5.1535341787047657478e-10	3.1346302767971694547e-09	2.5323969489845608577e-09	2.7620298071462198617e-09	-4.7849321188499714892e-09
-6	-5	-1	-5.1361825438573955727e-09	-3.0794673467411241766e-09	5.8433824924822658959e-09	6.0412707575245886449e-09	1.6001828007330433364e-09	-1.1729549707176198992e-08
-6	-5	0	-1.2284531135708129637e-08	2.6421106696997532647e-09	1.4741437362849755234e-08	-3.1705328036397037522e-09	-1.3507666689653651917e-08	-2.0172902136936653355e-08
-6	-5	1	3.4378615801782052718e-09	-7.9117798338323947983e-10	-5.6651319400159081482e-09	9.8440045317518093464e-10	-7.6984902190103124187e-09	1.7493436557646776837e-10
-6	-5	2	-1.0247668933336461152e-08	-1.5881574165373910488e-09	1.0106487391725205594e-08	-1.0793633210957746223e-09	-5.4767883206963719537e-09	-7.4628805523516094954e-09
-6	-5	3	-1.1346786617337940158e-09	1.3851488622247543776e-09	3.5397580490685189276e-09	5.8701267903672643089e-10	3.6302394249799432386e-09	3.7486521895107196801e-09
-6	-5	4	-9.5277364993191324824e-10	-6.5324274579639652937e-11	1.7300201768151248547e-09	9.9612767703581332641e-10	7.3336474612103619596e-10	1.1471731844253072755e-09
-6	-5	5	6.4947003512350040634e-12	4.4498786632044416198e-10	5.902904775710740391e-11	-6.6600965717277348435e-10	6.6822688178589401678e-11	-1.3202421758824046929e-10
-6	-5	6	-4.4198368886138454834e-10	-5.1907367278894138149e-11	-1.6780947396591778723e-10	9.4278994161170452884e-11	-5.8182491716631606355e-10	2.6658461188747909153e-11
