# explicit planar projective coherent-fan state; cutoff=23; coherent_pairs=158; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
0	-23	-23	0	0	0	0	0	0
0	-23	-22	0	0	0	0	0	0
0	-23	-21	0	0	0	0	0	0
0	-23	-20	0	0	0	0	0	0
0	-23	-19	0	0	0	0	0	0
0	-23	-18	0	0	0	0	0	0
0	-23	-17	0	0	0	0	0	0
0	-23	-16	0	0	0	0	0	0
0	-23	-15	0	0	0	0	0	0
0	-23	-14	0	0	0	0	0	0
0	-23	-13	0	0	0	0	0	0
0	-23	-12	0	0	0	0	0	0
0	-23	-11	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-10	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-9	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-8	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-7	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-6	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-5	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-4	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-3	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-2	0.039777864208786505029	-0	0	-0	0	-0
0	-23	-1	0.039777864208786505029	-0	0	-0	0	-0
0	-23	0	0	0	0	0	0	0
0	-23	1	0	0	0	0	0	0
0	-23	2	0	0	0	0	0	0
0	-23	3	0	0	0	0	0	0
0	-23	4	0	0	0	0	0	0
0	-23	5	0	0	0	0	0	0
0	-23	6	0	0	0	0	0	0
0	-23	7	0	0	0	0	0	0
0	-23	8	0	0	0	0	0	0
0	-23	9	0	0	0	0	0	0
0	-23	10	0	0	0	0	0	0
0	-23	11	0	0	0	0	0	0
0	-23	12	0	0	0	-0.018399887801915124769	0	-0.035266451620337327388
0	-23	13	0	0	0	-0.019572986738683809116	0	-0.034629130383825201811
0	-23	14	0	0	0	-0.020682379049392081438	0	-0.033978194152572700759
0	-23	15	0	0	0	-0.02172936559623065908	0	-0.033318360580887010358
0	-23	16	0	0	0	-0.022715725666024061402	0	-0.032653855644909586531
0	-23	17	0	0	0	-0.02364360691470815054	0	-0.031988409355193377082
0	-23	18	0	0	0	-0.024515426342989588004	0	-0.031325266993820030659
0	-23	19	0	0	0	-0.025333783715713934642	0	-0.030667211866390552827
0	-23	20	0	0	0	-0.026101387818974194216	0	-0.030016595991820323869
0	-23	21	0	0	0	-0.02682099520218539368	0	-0.029375375697631621319
0	-23	22	0	0	0	-0.027495360549327926836	0	-0.028745149665206470857
0	-23	23	0	0	0	0	0	0
0	-22	-23	0	0	0	0	0	0
0	-22	-22	0	0	0	0	0	0
0	-22	-21	0	0	0	0	0	0
0	-22	-20	0	0	0	0	0	0
0	-22	-19	0	0	0	0	0	0
0	-22	-18	0	0	0	0	0	0
0	-22	-17	0	0	0	0	0	0
0	-22	-16	0	0	0	0	0	0
0	-22	-15	0	0	0	0	0	0
0	-22	-14	0	0	0	0	0	0
0	-22	-13	0	0	0	0	0	0
0	-22	-12	0	0	0	0	0	0
0	-22	-11	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-10	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-9	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-8	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-7	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-6	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-5	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-4	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-3	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-2	0.039777864208786505029	-0	0	-0	0	-0
0	-22	-1	0.039777864208786505029	-0	0	-0	0	-0
0	-22	0	0	0	0	0	0	0
0	-22	1	0	0	0	0	0	0
0	-22	2	0	0	0	0	0	0
0	-22	3	0	0	0	0	0	0
0	-22	4	0	0	0	0	0	0
0	-22	5	0	0	0	0	0	0
0	-22	6	0	0	0	0	0	0
0	-22	7	0	0	0	0	0	0
0	-22	8	0	0	0	0	0	0
0	-22	9	0	0	0	0	0	0
0	-22	10	0	0	0	0	0	0
0	-22	11	0	0	0	0	0	0
0	-22	12	0	0	0	-0.019047715030299932487	0	-0.034920810888883213607
0	-22	13	0	0	0	-0.020236165496802890895	0	-0.034245818533051045063
0	-22	14	0	0	0	-0.021355760425484909132	0	-0.033559052097190573971
0	-22	15	0	0	0	-0.022408335714398951166	0	-0.032865559047785125601
0	-22	16	0	0	0	-0.023396213921569417038	0	-0.032169794142157946693
0	-22	17	0	0	0	-0.024322075668593637343	0	-0.031475627335827059683
0	-22	18	0	0	0	-0.025188846832725424185	0	-0.030786368351108851782
0	-22	19	0	0	0	-0.02599960244679150323	0	-0.030104802833127001366
0	-22	20	0	0	0	-0.026757487056530332437	0	-0.029433235762183367068
0	-22	21	0	0	0	-0.02746565049099697689	0	-0.028773538609615879891
0	-22	22	0	0	0	-0.028127197523150598846	0	-0.028127197523150598846
0	-22	23	0	0	0	0	0	0
0	-21	-23	0	0	0	0	0	0
0	-21	-22	0	0	0	0	0	0
0	-21	-21	0	0	0	0	0	0
0	-21	-20	0	0	0	0	0	0
0	-21	-19	0	0	0	0	0	0
0	-21	-18	0	0	0	0	0	0
0	-21	-17	0	0	0	0	0	0
0	-21	-16	0	0	0	0	0	0
0	-21	-15	0	0	0	0	0	0
0	-21	-14	0	0	0	0	0	0
0	-21	-13	0	0	0	0	0	0
0	-21	-12	0	0	0	0	0	0
0	-21	-11	0.039777864208786505029	-0	0	-0	0	-0
0	-21	-10	0.039777864208786505029	-0	0	-0	0	-0
0	-21	-9	0.039777864208786505029	-0	0	-0	0	-0
0	-21	-8	0.039777864208786505029	-0	0	-0	0	-0
0	-21	-7	0.039777864208786505029	-0	0	-0	0	-0
0	-21	-6	0.039777864208786505029	-0	0	-0	0	-0
0	-21	-5	0.039777864208786505029	-0	0	-0	0	-0
0	-21	-4	0.039777864208786505029	-0	0	-0	0	-0
0	-21	-3	0.039777864208786505029	-0	0	-0	0	-0
0	-21	-2	0.039777864208786505029	-0	0	-0	0	-0
