# energy-sphere spectral state blend; left=proof/l4/states/projective-coherent-fan/K3-K24/K8.tsv; right=proof/l4/states/local-projective-open-power/height-64-K8-warm/K8.tsv; right_weight=0.00300000000000000006; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-1.724344308564396427e-06	5.4850918670328445956e-07	-8.5671519967642861292e-07	-3.6124622943072690893e-07	2.5810595082408248281e-06	-1.8726295727255752416e-07
-8	-8	-7	-4.0272221820383284856e-08	-7.2546550778312638029e-08	-7.0427608148453844319e-09	-5.9599297478650498553e-08	5.407426586883276301e-08	1.5102382657938643803e-07
-8	-8	-6	4.6478233661342618412e-08	2.4116155415239048758e-07	-2.6364877510156997561e-08	7.3477614440646319323e-08	-2.6817808201580832213e-08	-4.1951889145738242685e-07
-8	-8	-5	-1.3549154072275752276e-07	-2.3862512255240465988e-07	3.7929847142800514011e-08	-6.524173887752562912e-08	1.5609870972793119812e-07	4.8618697828788848357e-07
-8	-8	-4	2.0220082159519836336e-07	1.6420577425220282477e-07	-6.1298407139871600847e-08	6.579300195019119987e-08	-2.8180482891065352504e-07	-4.5999755240478804928e-07
-8	-8	-3	-3.6871120474347983176e-07	-1.2577135139612181125e-07	1.0878964387506232503e-07	-1.0717030904488838732e-07	6.9312416231578008853e-07	6.2117776117602719618e-07
-8	-8	-2	3.0634121314218346179e-07	-4.3456637455671382915e-08	-1.4493145494933361123e-07	1.4163364930451078654e-07	-6.4563903277139950812e-07	-3.9270804739535758805e-07
-8	-8	-1	-2.9875912634558866406e-07	2.0112407634097428351e-07	1.7630484588376763759e-07	-2.2118042331205567127e-07	9.7963424369456842354e-07	1.6045077576865104914e-07
-8	-8	0	6.8388109266398811888e-08	-2.0610971972647958896e-07	-6.8388109266398811888e-08	2.0610971972647958896e-07	-5.7310237678071196785e-07	-5.4129921385020460955e-08
-8	-8	1	-4.4331189876375233039e-09	3.0604163487689059814e-07	1.2191375581556911465e-07	-3.6231138360075081936e-07	9.3984509462345275723e-07	-4.5015798979088161095e-07
-8	-8	2	-1.2071129096272046354e-07	-2.370350701426092931e-07	-4.0994489987309739516e-08	3.6982207261248895266e-07	-6.4682312380012078577e-07	5.3114800987951863822e-07
-8	-8	3	1.8638716342855848591e-07	8.0723806302015116077e-08	-3.7491690073675299238e-08	-4.4129402720347033655e-07	3.9705459561302184877e-07	-9.6152058907054732518e-07
-8	-8	4	-1.554987654502426688e-07	1.9860764940382250564e-08	1.0810618093578121457e-07	2.9760086353674680419e-07	-9.4785169028922934919e-08	6.3492325695425813598e-07
-8	-8	5	8.5357448907196544557e-08	-1.0886161758124168397e-07	-1.7563191755976236906e-07	-2.5764332363802069201e-07	-1.4443914984410530861e-07	-5.8640790595081978039e-07
-8	-8	6	1.623833044044158665e-09	1.4987920819841574908e-07	2.0499319205481726877e-07	1.8042462387138528831e-07	2.7548936679848188257e-07	4.4040510942640136554e-07
