# explicit planar projective coherent-fan state; cutoff=12; coherent_pairs=36; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
0	-12	-12	0	0	0	0	0	0
0	-12	-11	0	0	0	0	0	0
0	-12	-10	0	0	0	0	0	0
0	-12	-9	0	0	0	0	0	0
0	-12	-8	0	0	0	0	0	0
0	-12	-7	0	0	0	0	0	0
0	-12	-6	0	0	0	0	0	0
0	-12	-5	0.083333333333333328707	-0	0	-0	0	-0
0	-12	-4	0.083333333333333328707	-0	0	-0	0	-0
0	-12	-3	0.083333333333333328707	-0	0	-0	0	-0
0	-12	-2	0.083333333333333328707	-0	0	-0	0	-0
0	-12	-1	0.083333333333333328707	-0	0	-0	0	-0
0	-12	0	0	0	0	0	0	0
0	-12	1	0	0	0	0	0	0
0	-12	2	0	0	0	0	0	0
0	-12	3	0	0	0	0	0	0
0	-12	4	0	0	0	0	0	0
0	-12	5	0	0	0	0	0	0
0	-12	6	0	0	0	0	0	0
0	-12	7	0	0	0	-0.041989252127007180293	0	-0.071981575074869449948
0	-12	8	0	0	0	-0.046225016352102424322	0	-0.069337524528153643422
0	-12	9	0	0	0	-0.050000000000000002776	0	-0.066666666666666665741
0	-12	10	0	0	0	-0.053348699972039989592	0	-0.06401843996644798751
0	-12	11	0	0	0	-0.05631038570977885821	0	-0.061429511683395117416
0	-12	12	0	0	0	0	0	0
0	-11	-12	0	0	0	0	0	0
0	-11	-11	0	0	0	0	0	0
0	-11	-10	0	0	0	0	0	0
0	-11	-9	0	0	0	0	0	0
0	-11	-8	0	0	0	0	0	0
0	-11	-7	0	0	0	0	0	0
0	-11	-6	0	0	0	0	0	0
0	-11	-5	0.083333333333333328707	-0	0	-0	0	-0
0	-11	-4	0.083333333333333328707	-0	0	-0	0	-0
0	-11	-3	0.083333333333333328707	-0	0	-0	0	-0
0	-11	-2	0.083333333333333328707	-0	0	-0	0	-0
0	-11	-1	0.083333333333333328707	-0	0	-0	0	-0
0	-11	0	0	0	0	0	0	0
0	-11	1	0	0	0	0	0	0
0	-11	2	0	0	0	0	0	0
0	-11	3	0	0	0	0	0	0
0	-11	4	0	0	0	0	0	0
0	-11	5	0	0	0	0	0	0
0	-11	6	0	0	0	0	0	0
0	-11	7	0	0	0	-0.044739624349429941985	0	-0.070305123977675618163
0	-11	8	0	0	0	-0.049014308139587181579	0	-0.067394673691932374671
