# cutoff=8 energy=1 Q=D^4*Z=0.0002125663341710896687
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	1.1179604940176692016e-67	-2.0534470782727949601e-67	4.479672081667486681e-67	1.7720901953988292343e-67	-5.5976325756851562121e-67	2.8135688287396564346e-68
-8	-8	-7	-3.2384094308987754003e-51	1.9236537653605959484e-50	1.731473863303914641e-51	1.1537247355122382128e-51	1.7222120772512692273e-51	-2.3303157016135081556e-50
-8	-8	-6	-1.0787706390654674175e-40	1.5232494598317093727e-39	-7.9326363293161467113e-40	-1.3431435685236196177e-39	1.2015209291175484689e-39	-2.40141188410786204e-40
-8	-8	-5	3.3527451484498307451e-31	-5.4269513470802630119e-32	-2.9581754228887093063e-31	-1.1825402364201414472e-31	-6.313115608977943021e-32	2.7603765938050680471e-31
-8	-8	-4	-8.0665016526579595581e-27	-4.5196339867488250567e-26	2.7140574143228345193e-28	3.2067394347324366863e-26	1.5590191822451351405e-26	2.6257891040327761668e-26
-8	-8	-3	-1.6648873616737215566e-24	-8.9996338756297004437e-23	-4.7609450171196617673e-23	1.1215576617219827675e-22	1.3139823342098755952e-22	-5.9091806442403384993e-23
-8	-8	-2	-4.1589926428310288931e-21	6.4323984665040050882e-21	5.8927960164130585219e-21	-7.2339202002871548093e-21	-6.93521349432812002e-21	3.2060869351326000132e-21
-8	-8	-1	-4.2243998169297260476e-19	-4.2207115534500957503e-20	4.2141681216897053919e-19	7.1630464925955098543e-20	8.185356192016446358e-21	-2.3538679513163308017e-19
-8	-8	0	-6.7312261082986877834e-19	-1.5628249064192846197e-19	6.7312261082986877834e-19	1.5628249064192846197e-19	4.7978492160397318103e-19	-6.3732897075276880442e-19
-8	-8	1	8.7623134781491852853e-20	3.8003797772176442837e-19	-1.273685043037737279e-19	-3.9181338632171161115e-19	-3.1796295617825509664e-19	-9.4203268799577654878e-20
-8	-8	2	1.0947851996349477423e-20	1.2271875996588036231e-21	-1.4707310511603802425e-20	7.0879775377278101368e-22	-1.5037834061017293991e-20	7.7439414137263377947e-21
-8	-8	3	4.4265734185624778379e-23	-1.8295018390492979217e-23	-6.7109169200110066334e-23	6.2835874805554378937e-23	-6.0915826705294097295e-23	1.1877561710683038358e-22
-8	-8	4	-1.4715813431507350513e-26	-9.5737824692790311962e-27	1.0038423965755599049e-26	1.3378083354329113903e-26	-9.3547789315035043617e-27	7.6086017701001654136e-27
-8	-8	5	5.8598779070823385607e-32	-1.8421640298582416892e-31	6.3084079379465013929e-32	1.8421937934695415862e-31	1.9469257352046144802e-31	4.7621778079743089879e-36
-8	-8	6	-1.2550062211718786036e-40	-1.0407384321573413435e-39	3.4339961147003279531e-40	2.7099579732233674784e-40	2.905319858037932466e-40	-1.0263235131133395696e-39
-8	-8	7	-1.5121259793172853332e-50	-1.4331796148088687952e-51	1.354154587257965158e-51	1.239729810026700056e-51	-1.5733834521045585806e-50	-2.2108549117962143211e-52
-8	-8	8	-1.8848172918678660881e-67	1.5157921431596813606e-67	1.510891406644028954e-67	2.0972341549831678072e-67	-3.7392588522383713412e-68	3.6130262981428491678e-67
-8	-7	-8	1.8746812646706584228e-51	-4.3603868316318217968e-51	1.954506379300621365e-50	-5.8152627309096303271e-51	-1.8976612083551093883e-50	9.4487417211777487782e-51
-8	-7	-7	6.6293699493441438811e-38	-2.6932845281209860713e-38	-1.3133449355522649111e-37	2.0784688046133597098e-37	5.5570265562721994084e-38	-1.7706648585423899029e-37
-8	-7	-6	4.8615142623522070264e-29	-4.2367891361744938421e-29	-4.0581333866718146615e-29	1.0466019658664380735e-28	-1.7475300653524915162e-29	-6.5613040868757864821e-29
-8	-7	-5	-1.5674021273299718776e-23	-8.4436117697320852374e-24	5.8416977548934705761e-23	-9.7539333026498524307e-26	-5.6705334531229045077e-23	1.364633389780843427e-23
-8	-7	-4	-1.3629305663398949439e-19	-1.4142482339078983609e-19	7.0563467501164772196e-20	9.4239862960858115016e-20	1.491000451409406254e-19	1.1792988660007800702e-19
-8	-7	-3	1.0294708206359863106e-16	2.9290907319499023432e-17	-1.344650528113308314e-16	-6.0721926564735054294e-17	3.9226237723508956641e-17	6.3575409132384389317e-17
-8	-7	-2	2.3989501887023254154e-15	-1.8357537363483963156e-16	-2.5431568011325560414e-15	1.0354577013988553528e-16	-6.9475195084535453071e-16	3.7189129904975918356e-16
-8	-7	-1	-3.3731281572641768793e-14	-1.6586322298911663505e-14	3.7279239697401834098e-14	2.1511396576274515102e-14	8.8955746993213353194e-15	-1.7889197642628291367e-14
-8	-7	0	-6.2846270418681912284e-14	1.7449858784858898953e-16	7.1824309049922189074e-14	-1.9942695754124455594e-16	1.5597388962618656318e-15	-1.8021598524596756673e-14
-8	-7	1	3.3300176496082286908e-14	8.3531716214653506575e-15	-3.8191825372578827757e-14	-6.3644922145997010146e-15	-9.4136563939351204782e-16	2.2273927469524901313e-14
-8	-7	2	2.0813060901547897005e-15	-1.3664364963355450755e-15	-1.7270797510914420125e-15	1.7053230798063158209e-15	2.2804452317991119553e-15	5.0288479397992556423e-16
-8	-7	3	-8.5152632045853289643e-17	-5.4877685357390433257e-17	1.2265119179676394418e-16	3.2323316373260251168e-17	5.9112428736840451259e-17	-7.0919422748767231851e-17
-8	-7	4	-2.4621543679105999833e-19	6.0592867552481062869e-20	1.7295271139077259621e-19	-1.7381863767885952799e-19	-1.8976362864826791718e-19	-1.8299688083304203621e-19
-8	-7	5	2.8430774235218936413e-24	2.1782536820037071832e-23	-2.2261354466406879348e-23	-3.6451196382612871606e-23	-2.6616972375334601848e-23	-1.6179616023598702378e-23
-8	-7	6	8.5457764037518770824e-30	5.43992137767142506e-29	-1.1704876846504772301e-29	-7.0593260437991354802e-29	-2.2613211159197316915e-30	-9.8265188087042525416e-30
-8	-7	7	-8.1557154863897997565e-39	-1.9360299117326700148e-38	-2.3624187772479337212e-38	1.1960653133518018403e-37	-3.2945005471210534697e-38	9.7480475201092517774e-38
-8	-7	8	1.8114491483643570248e-51	5.2002072193936985822e-51	7.2619641176692419462e-51	7.09990873492533379e-51	8.1656677513249440245e-51	1.1412627362453366984e-50
-8	-6	-8	-3.4899785021512966355e-39	1.7700904307432745727e-40	6.9809854562490905997e-39	-1.0449621682462164954e-39	-1.7457605900355213143e-39	6.0671258311033483273e-40
-8	-6	-7	5.5393625103482824907e-29	2.2015432868850859302e-29	-3.4071767242947514432e-29	3.44262254598211184e-29	-3.4102628195739642265e-29	-5.4668687958533372462e-29
-8	-6	-6	4.1802060990753512574e-22	1.2064282696935263552e-22	3.2066952669649957355e-23	-2.5170337060929982079e-22	-5.8942776587969680147e-22	9.0846267983496298929e-23
-8	-6	-5	-1.7813850909163548323e-19	-1.5834984053835150931e-17	-1.8047755291427958227e-18	7.5755622503500049316e-18	2.4507522495179716064e-18	1.624529978571623434e-17
-8	-6	-4	-1.9985471222306669412e-15	-1.0064041672844561263e-14	-2.5615935715427902864e-15	1.213286550070311596e-14	7.839484601775520101e-15	1.9287850946344481928e-15
-8	-6	-3	-3.9402153924791639267e-13	-1.4215879504261388058e-13	4.8897970982832257838e-13	4.1878899340634760294e-13	7.2764685004465211069e-14	-4.5848786669905825832e-13
-8	-6	-2	-9.1836081032868857673e-12	8.2891150699711474981e-12	1.2251388426532268743e-11	-1.1319743203790954024e-11	-1.9732866449262492126e-14	8.0276933148827440301e-13
-8	-6	-1	-3.6153558578010952851e-11	4.1014059816449850149e-11	4.9691475217089128452e-11	-5.4026123392075581824e-11	-8.9203826784471608314e-12	-3.955738179145293281e-12
-8	-6	0	5.1459547706177368522e-11	1.5516638171918594462e-11	-6.861273027490315803e-11	-2.0688850895891459283e-11	-1.5599602700358030098e-11	-3.0257366428969751136e-11
-8	-6	1	4.8975944751447703537e-11	-1.4864053882856719054e-11	-6.810598558750442283e-11	2.1230922677886030835e-11	-1.682835551344496038e-11	8.4731050044624358132e-12
-8	-6	2	-7.5681364240771124673e-12	-4.3328263757869162981e-12	9.7249045347549471017e-12	7.0359000044015127962e-12	-1.097832092043605737e-12	3.7763945100568723883e-12
-8	-6	3	-7.350983985367325448e-15	3.8867785151104265369e-14	1.148113264419898225e-13	1.3501057348772390879e-13	2.1002002892300009364e-13	3.7366857404505920873e-13
-8	-6	4	6.1879649772383971236e-15	4.6798533353794609289e-15	-7.4130171345816879952e-15	-3.619993823210988088e-15	1.2564042526042614656e-15	3.9297159359424405147e-15
-8	-6	5	-1.8249254826269019573e-20	-9.8997615329474965887e-18	2.8791785954631825366e-19	7.8717730269765077249e-18	3.1630262373355143938e-19	-6.3934908203441846557e-18
-8	-6	6	7.122907741080035799e-25	-3.5740943849489241204e-22	2.3094662234705389486e-22	2.3464897499217307522e-22	2.3189634337919785666e-22	-2.4189694300101682318e-22
-8	-6	7	-4.4610244851273103934e-29	1.2430525949391776196e-29	6.5974185542881889503e-29	1.1399027993649260393e-29	5.5661649210152177807e-30	2.3976910793861394388e-29
